d3mIndex,FIPS,State,Area,RUCCode,POVALL_2016,coordinates of geographic center,population
1498,20049,KS,Elk County,8,447,Point(-98.3804 38.4937),2911641
1499,31183,NE,Wheeler County,9,88,Point(-99.7951 41.5378),1896190
1500,45023,SC,Chester County,6,6328,Point(-80.8964 33.9169),4896146
1501,51017,VA,Bath County,9,516,Point(-78.8537 37.5215),8382993
1502,12131,FL,Walton County,6,8331,Point(-82.4497 28.6305),20271272
1503,20131,KS,Nemaha County,8,928,Point(-98.3804 38.4937),2911641
1504,37115,NC,Madison County,2,3786,Point(-79.5 35.5),10042802
1505,39143,OH,Sandusky County,4,6750,Point(-82.7937 40.2862),11613423
1506,18049,IN,Fulton County,7,2471,Point(-86.2816 39.8942),6619680
1507,39123,OH,Ottawa County,2,4160,Point(-82.7937 40.2862),11613423
1508,17195,IL,Whiteside County,4,6586,Point(-89.1965 40.0417),12859995
1509,48337,TX,Montague County,6,3165,Point(-99.3312 31.4757),27469114
1510,26137,MI,Otsego County,7,3369,Point(-85.4102 44.3467),9922576
1511,9005,CT,Litchfield County,4,12952,Point(-72.7273 41.6219),3590886
1512,6057,CA,Nevada County,4,10662,Point(-119.4696 37.1841),39144818
1513,48209,TX,Hays County,1,24332,Point(-99.3312 31.4757),27469114
1514,45037,SC,Edgefield County,2,4180,Point(-80.8964 33.9169),4896146
1515,55137,WI,Waushara County,8,3263,Point(-89.9941 44.6243),5771337
1516,31125,NE,Nance County,9,432,Point(-99.7951 41.5378),1896190
1517,20007,KS,Barber County,9,559,Point(-98.3804 38.4937),2911641
1518,42025,PA,Carbon County,2,8210,Point(-77.7996 40.8781),12802503
1519,20071,KS,Greeley County,9,149,Point(-98.3804 38.4937),2911641
1520,36051,NY,Livingston County,1,8072,Point(-75.5268 42.9538),19795791
1521,48483,TX,Wheeler County,9,736,Point(-99.3312 31.4757),27469114
1522,6021,CA,Glenn County,6,4632,Point(-119.4696 37.1841),39144818
1523,39015,OH,Brown County,1,7196,Point(-82.7937 40.2862),11613423
1524,42009,PA,Bedford County,6,6550,Point(-77.7996 40.8781),12802503
1525,26081,MI,Kent County,2,76343,Point(-85.4102 44.3467),9922576
1526,13207,GA,Monroe County,3,3197,Point(-83.437611111 32.662027777),10214860
1527,20067,KS,Grant County,7,909,Point(-98.3804 38.4937),2911641
1528,48407,TX,San Jacinto County,1,4876,Point(-99.3312 31.4757),27469114
1529,8075,CO,Logan County,7,3056,Point(-105.5478 38.9972),5456574
1530,21003,KY,Allen County,6,3790,Point(-85.3021 37.5347),4425092
1531,30043,MT,Jefferson County,9,1032,Point(-109.6333 47.0527),1032949
1532,26041,MI,Delta County,5,5107,Point(-85.4102 44.3467),9922576
1533,35028,NM,Los Alamos County,6,720,Point(-106.1126 34.4071),2085109
1534,16053,ID,Jerome County,7,3644,Point(-114.613 44.3509),1654930
1535,28081,MS,Lee County,5,14332,Point(-89.6678 32.7364),2992333
1536,21013,KY,Bell County,7,10096,Point(-85.3021 37.5347),4425092
1537,29163,MO,Pike County,6,2907,Point(-92.458 38.3566),6083672
1538,29155,MO,Pemiscot County,7,5198,Point(-92.458 38.3566),6083672
1539,16081,ID,Teton County,9,1057,Point(-114.613 44.3509),1654930
1540,55063,WI,La Crosse County,3,14977,Point(-89.9941 44.6243),5771337
1541,32015,NV,Lander County,7,674,Point(-116.6312 39.3289),2890845
1542,56031,WY,Platte County,7,1031,Point(-107.5512 42.9957),586107
1543,27083,MN,Lyon County,7,3167,Point(-94.3053 46.2807),5489594
1544,21041,KY,Carroll County,6,2152,Point(-85.3021 37.5347),4425092
1545,17171,IL,Scott County,9,575,Point(-89.1965 40.0417),12859995
1546,46057,SD,Hamlin County,9,557,,1394928
1547,19145,IA,Page County,7,2046,Point(-93.496 42.0751),3046355
1548,13133,GA,Greene County,6,3067,Point(-83.437611111 32.662027777),10214860
1549,29203,MO,Shannon County,9,2133,Point(-92.458 38.3566),6083672
1550,37109,NC,Lincoln County,4,10179,Point(-79.5 35.5),10042802
1551,35007,NM,Colfax County,7,2525,Point(-106.1126 34.4071),2085109
1552,46029,SD,Codington County,7,3264,,1394928
1553,50001,VT,Addison County,6,3318,Point(-72.6658 44.0687),626042
1554,47149,TN,Rutherford County,1,31097,Point(-86.3505 35.858),6600299
1555,55081,WI,Monroe County,6,5384,Point(-89.9941 44.6243),5771337
1556,53063,WA,Spokane County,2,64514,Point(-120.4472 47.3826),7170351
1557,48179,TX,Gray County,6,4001,Point(-99.3312 31.4757),27469114
1558,26045,MI,Eaton County,2,12005,Point(-85.4102 44.3467),9922576
1559,8109,CO,Saguache County,9,1757,Point(-105.5478 38.9972),5456574
1560,29141,MO,Morgan County,8,3885,Point(-92.458 38.3566),6083672
1561,16087,ID,Washington County,6,1517,Point(-114.613 44.3509),1654930
1562,26113,MI,Missaukee County,9,2198,Point(-85.4102 44.3467),9922576
1563,29209,MO,Stone County,8,3960,Point(-92.458 38.3566),6083672
1564,38073,ND,Ransom County,8,421,Point(-100.4659 47.4501),756927
1565,42089,PA,Monroe County,4,19303,Point(-77.7996 40.8781),12802503
1566,29217,MO,Vernon County,7,3498,Point(-92.458 38.3566),6083672
1567,55083,WI,Oconto County,2,3364,Point(-89.9941 44.6243),5771337
1568,28045,MS,Hancock County,3,7976,Point(-89.6678 32.7364),2992333
1569,13089,GA,DeKalb County,1,127476,Point(-83.437611111 32.662027777),10214860
1570,13309,GA,Wheeler County,9,2111,Point(-83.437611111 32.662027777),10214860
1571,21135,KY,Lewis County,8,3545,Point(-85.3021 37.5347),4425092
1572,46039,SD,Deuel County,9,411,,1394928
1573,48211,TX,Hemphill County,9,406,Point(-99.3312 31.4757),27469114
1574,29215,MO,Texas County,9,7130,Point(-92.458 38.3566),6083672
1575,5053,AR,Grant County,2,2062,Point(-92.4426 34.8938),2978204
1576,38099,ND,Walsh County,6,1176,Point(-100.4659 47.4501),756927
1577,45073,SC,Oconee County,6,11021,Point(-80.8964 33.9169),4896146
1578,13081,GA,Crisp County,6,6751,Point(-83.437611111 32.662027777),10214860
1579,49025,UT,Kane County,6,745,Point(-111.6703 39.3055),2763885
1580,40027,OK,Cleveland County,1,33109,Point(-97.4943 35.5889),3911338
1581,36015,NY,Chemung County,3,12390,Point(-75.5268 42.9538),19795791
1582,27121,MN,Pope County,8,991,Point(-94.3053 46.2807),5489594
1583,16023,ID,Butte County,8,451,Point(-114.613 44.3509),1654930
1584,46037,SD,Day County,9,759,,1394928
1585,31005,NE,Arthur County,9,56,Point(-99.7951 41.5378),1896190
1586,50009,VT,Essex County,9,966,Point(-72.6658 44.0687),626042
1587,16051,ID,Jefferson County,3,2875,Point(-114.613 44.3509),1654930
1588,12077,FL,Liberty County,8,1468,Point(-82.4497 28.6305),20271272
1589,4001,AZ,Apache County,6,23966,Point(-111.6602 34.2744),6828065
1590,41047,OR,Marion County,2,44581,Point(-120.5583 43.9336),4028977
1591,48271,TX,Kinney County,9,652,Point(-99.3312 31.4757),27469114
1592,22127,LA,Winn Parish,6,3080,,3976322
1593,31011,NE,Boone County,9,525,Point(-99.7951 41.5378),1896190
1594,26121,MI,Muskegon County,3,31393,Point(-85.4102 44.3467),9922576
1595,46023,SD,Charles Mix County,9,1951,,1394928
1596,30073,MT,Pondera County,7,1083,Point(-109.6333 47.0527),1032949
1597,30029,MT,Flathead County,5,11897,Point(-109.6333 47.0527),1032949
1598,29510,MO,St. Louis city,1,73250,Point(-92.458 38.3566),6083672
1599,36079,NY,Putnam County,1,5844,Point(-75.5268 42.9538),19795791
1600,18013,IN,Brown County,1,1613,Point(-86.2816 39.8942),6619680
1601,48215,TX,Hidalgo County,2,262028,Point(-99.3312 31.4757),27469114
1602,12069,FL,Lake County,1,39212,Point(-82.4497 28.6305),20271272
1603,31177,NE,Washington County,2,1405,Point(-99.7951 41.5378),1896190
1604,47071,TN,Hardin County,6,5438,Point(-86.3505 35.858),6600299
1605,48057,TX,Calhoun County,3,3420,Point(-99.3312 31.4757),27469114
1606,42073,PA,Lawrence County,4,11672,Point(-77.7996 40.8781),12802503
1607,22061,LA,Lincoln Parish,4,12959,,3976322
1608,39133,OH,Portage County,2,20743,Point(-82.7937 40.2862),11613423
1609,30039,MT,Granite County,8,438,Point(-109.6333 47.0527),1032949
1610,53037,WA,Kittitas County,6,7724,Point(-120.4472 47.3826),7170351
1611,53005,WA,Benton County,3,20153,Point(-120.4472 47.3826),7170351
1612,27063,MN,Jackson County,7,858,Point(-94.3053 46.2807),5489594
1613,48181,TX,Grayson County,3,16550,Point(-99.3312 31.4757),27469114
1614,13145,GA,Harris County,2,2883,Point(-83.437611111 32.662027777),10214860
1615,20063,KS,Gove County,9,264,Point(-98.3804 38.4937),2911641
1616,24027,MD,Howard County,1,16536,Point(-76.7909 39.055),6006401
1617,26099,MI,Macomb County,1,94224,Point(-85.4102 44.3467),9922576
1618,39029,OH,Columbiana County,4,17130,Point(-82.7937 40.2862),11613423
1619,1075,AL,Lamar County,9,2545,Point(-86.8287 32.7794),4858979
1620,20185,KS,Stafford County,9,547,Point(-98.3804 38.4937),2911641
1621,51177,VA,Spotsylvania County,1,9648,Point(-78.8537 37.5215),8382993
1622,20203,KS,Wichita County,9,244,Point(-98.3804 38.4937),2911641
1623,38031,ND,Foster County,9,287,Point(-100.4659 47.4501),756927
1624,39147,OH,Seneca County,4,6782,Point(-82.7937 40.2862),11613423
1625,28047,MS,Harrison County,3,40472,Point(-89.6678 32.7364),2992333
1626,26119,MI,Montmorency County,9,1535,Point(-85.4102 44.3467),9922576
1627,39045,OH,Fairfield County,1,14445,Point(-82.7937 40.2862),11613423
1628,1079,AL,Lawrence County,3,5530,Point(-86.8287 32.7794),4858979
1629,29019,MO,Boone County,3,27774,Point(-92.458 38.3566),6083672
1630,37187,NC,Washington County,7,3147,Point(-79.5 35.5),10042802
1631,5127,AR,Scott County,6,1991,Point(-92.4426 34.8938),2978204
1632,27095,MN,Mille Lacs County,6,3047,Point(-94.3053 46.2807),5489594
1633,18093,IN,Lawrence County,4,6139,Point(-86.2816 39.8942),6619680
1634,31157,NE,Scotts Bluff County,5,5645,Point(-99.7951 41.5378),1896190
1635,51025,VA,Brunswick County,6,3275,Point(-78.8537 37.5215),8382993
1636,29175,MO,Randolph County,6,3616,Point(-92.458 38.3566),6083672
1637,39069,OH,Henry County,6,2258,Point(-82.7937 40.2862),11613423
1638,17091,IL,Kankakee County,3,14958,Point(-89.1965 40.0417),12859995
1639,49003,UT,Box Elder County,4,5008,Point(-111.6703 39.3055),2763885
1640,39087,OH,Lawrence County,2,10771,Point(-82.7937 40.2862),11613423
1641,30097,MT,Sweet Grass County,9,351,Point(-109.6333 47.0527),1032949
1642,26131,MI,Ontonagon County,9,925,Point(-85.4102 44.3467),9922576
1643,47053,TN,Gibson County,4,8157,Point(-86.3505 35.858),6600299
1644,27145,MN,Stearns County,3,17429,Point(-94.3053 46.2807),5489594
1645,16069,ID,Nez Perce County,3,5861,Point(-114.613 44.3509),1654930
1646,12029,FL,Dixie County,6,3697,Point(-82.4497 28.6305),20271272
1647,48171,TX,Gillespie County,7,2563,Point(-99.3312 31.4757),27469114
1648,20021,KS,Cherokee County,6,3148,Point(-98.3804 38.4937),2911641
1649,55123,WI,Vernon County,6,5019,Point(-89.9941 44.6243),5771337
1650,18179,IN,Wells County,2,2663,Point(-86.2816 39.8942),6619680
1651,5107,AR,Phillips County,7,6042,Point(-92.4426 34.8938),2978204
1652,31145,NE,Red Willow County,7,1100,Point(-99.7951 41.5378),1896190
1653,54063,WV,Monroe County,8,2295,Point(-80.6227 38.6409),1844128
1654,55087,WI,Outagamie County,3,14548,Point(-89.9941 44.6243),5771337
1655,1123,AL,Tallapoosa County,6,8111,Point(-86.8287 32.7794),4858979
1656,19133,IA,Monona County,6,1111,Point(-93.496 42.0751),3046355
1657,41063,OR,Wallowa County,9,1000,Point(-120.5583 43.9336),4028977
1658,54075,WV,Pocahontas County,9,1495,Point(-80.6227 38.6409),1844128
1659,34037,NJ,Sussex County,1,8460,Point(-74.6728 40.1907),8958013
1660,30009,MT,Carbon County,3,1071,Point(-109.6333 47.0527),1032949
1661,21113,KY,Jessamine County,2,8014,Point(-85.3021 37.5347),4425092
1662,49007,UT,Carbon County,7,3013,Point(-111.6703 39.3055),2763885
1663,29135,MO,Moniteau County,3,1696,Point(-92.458 38.3566),6083672
1664,39107,OH,Mercer County,7,3308,Point(-82.7937 40.2862),11613423
1665,54069,WV,Ohio County,3,6361,Point(-80.6227 38.6409),1844128
1666,21167,KY,Mercer County,6,3088,Point(-85.3021 37.5347),4425092
1667,1107,AL,Pickens County,8,4756,Point(-86.8287 32.7794),4858979
1668,51065,VA,Fluvanna County,3,1867,Point(-78.8537 37.5215),8382993
1669,8037,CO,Eagle County,5,4239,Point(-105.5478 38.9972),5456574
1670,13251,GA,Screven County,6,3744,Point(-83.437611111 32.662027777),10214860
1671,18123,IN,Perry County,6,2612,Point(-86.2816 39.8942),6619680
1672,39163,OH,Vinton County,9,2661,Point(-82.7937 40.2862),11613423
1673,6073,CA,San Diego County,1,400028,Point(-119.4696 37.1841),39144818
1674,19083,IA,Hardin County,6,1807,Point(-93.496 42.0751),3046355
1675,31085,NE,Hayes County,9,150,Point(-99.7951 41.5378),1896190
1676,56041,WY,Uinta County,7,2183,Point(-107.5512 42.9957),586107
1677,46059,SD,Hand County,9,295,,1394928
1678,27163,MN,Washington County,1,11304,Point(-94.3053 46.2807),5489594
1679,48207,TX,Haskell County,6,1258,Point(-99.3312 31.4757),27469114
1680,26083,MI,Keweenaw County,9,269,Point(-85.4102 44.3467),9922576
1681,48129,TX,Donley County,8,593,Point(-99.3312 31.4757),27469114
1682,37025,NC,Cabarrus County,1,21980,Point(-79.5 35.5),10042802
1683,30013,MT,Cascade County,3,11333,Point(-109.6333 47.0527),1032949
1684,40049,OK,Garvin County,6,4791,Point(-97.4943 35.5889),3911338
1685,30031,MT,Gallatin County,5,11526,Point(-109.6333 47.0527),1032949
1686,35055,NM,Taos County,7,7354,Point(-106.1126 34.4071),2085109
1687,18161,IN,Union County,8,912,Point(-86.2816 39.8942),6619680
1688,51700,VA,Newport News city,1,25395,Point(-78.8537 37.5215),8382993
1689,37127,NC,Nash County,3,15151,Point(-79.5 35.5),10042802
1690,50021,VT,Rutland County,5,7591,Point(-72.6658 44.0687),626042
1691,21197,KY,Powell County,6,3185,Point(-85.3021 37.5347),4425092
1692,37041,NC,Chowan County,7,2665,Point(-79.5 35.5),10042802
1693,48489,TX,Willacy County,6,7076,Point(-99.3312 31.4757),27469114
1694,27035,MN,Crow Wing County,5,6975,Point(-94.3053 46.2807),5489594
1695,41041,OR,Lincoln County,4,9289,Point(-120.5583 43.9336),4028977
1696,31167,NE,Stanton County,9,449,Point(-99.7951 41.5378),1896190
1697,55105,WI,Rock County,3,20393,Point(-89.9941 44.6243),5771337
1698,36007,NY,Broome County,2,30417,Point(-75.5268 42.9538),19795791
1699,28017,MS,Chickasaw County,7,3715,Point(-89.6678 32.7364),2992333
1700,36081,NY,Queens County,1,307866,Point(-75.5268 42.9538),19795791
1701,40139,OK,Texas County,7,2861,Point(-97.4943 35.5889),3911338
1702,42115,PA,Susquehanna County,6,5117,Point(-77.7996 40.8781),12802503
1703,22113,LA,Vermilion Parish,4,11669,,3976322
1704,20163,KS,Rooks County,9,592,Point(-98.3804 38.4937),2911641
1705,54095,WV,Tyler County,6,1431,Point(-80.6227 38.6409),1844128
1706,51149,VA,Prince George County,1,3176,Point(-78.8537 37.5215),8382993
1707,13033,GA,Burke County,2,5986,Point(-83.437611111 32.662027777),10214860
1708,16079,ID,Shoshone County,6,2319,Point(-114.613 44.3509),1654930
1709,20133,KS,Neosho County,7,2552,Point(-98.3804 38.4937),2911641
1710,18027,IN,Daviess County,7,4609,Point(-86.2816 39.8942),6619680
1711,13101,GA,Echols County,3,913,Point(-83.437611111 32.662027777),10214860
1712,31081,NE,Hamilton County,7,697,Point(-99.7951 41.5378),1896190
1713,8105,CO,Rio Grande County,7,1972,Point(-105.5478 38.9972),5456574
1714,5079,AR,Lincoln County,3,2726,Point(-92.4426 34.8938),2978204
1715,12017,FL,Citrus County,4,23472,Point(-82.4497 28.6305),20271272
1716,48387,TX,Red River County,6,2057,Point(-99.3312 31.4757),27469114
1717,41019,OR,Douglas County,4,16692,Point(-120.5583 43.9336),4028977
1718,22117,LA,Washington Parish,6,12371,,3976322
1719,28115,MS,Pontotoc County,7,5725,Point(-89.6678 32.7364),2992333
1720,1005,AL,Barbour County,6,6787,Point(-86.8287 32.7794),4858979
1721,31129,NE,Nuckolls County,9,525,Point(-99.7951 41.5378),1896190
1722,16063,ID,Lincoln County,9,665,Point(-114.613 44.3509),1654930
1723,46111,SD,Sanborn County,9,268,,1394928
1724,12051,FL,Hendry County,4,9712,Point(-82.4497 28.6305),20271272
1725,37179,NC,Union County,1,20266,Point(-79.5 35.5),10042802
1726,48039,TX,Brazoria County,1,34053,Point(-99.3312 31.4757),27469114
1727,20087,KS,Jefferson County,3,1765,Point(-98.3804 38.4937),2911641
1728,8051,CO,Gunnison County,7,2128,Point(-105.5478 38.9972),5456574
1729,12123,FL,Taylor County,6,4291,Point(-82.4497 28.6305),20271272
1730,47069,TN,Hardeman County,6,5443,Point(-86.3505 35.858),6600299
1731,28137,MS,Tate County,1,4648,Point(-89.6678 32.7364),2992333
1732,8063,CO,Kit Carson County,7,1023,Point(-105.5478 38.9972),5456574
1733,18011,IN,Boone County,1,4481,Point(-86.2816 39.8942),6619680
1734,55133,WI,Waukesha County,1,20315,Point(-89.9941 44.6243),5771337
1735,8011,CO,Bent County,7,1358,Point(-105.5478 38.9972),5456574
1736,51800,VA,Suffolk city,1,10303,Point(-78.8537 37.5215),8382993
1737,13191,GA,McIntosh County,3,2847,Point(-83.437611111 32.662027777),10214860
1738,36111,NY,Ulster County,3,23815,Point(-75.5268 42.9538),19795791
1739,41021,OR,Gilliam County,9,223,Point(-120.5583 43.9336),4028977
1740,39019,OH,Carroll County,2,3475,Point(-82.7937 40.2862),11613423
1741,45057,SC,Lancaster County,4,11381,Point(-80.8964 33.9169),4896146
1742,48279,TX,Lamb County,6,2803,Point(-99.3312 31.4757),27469114
1743,51540,VA,Charlottesville city,3,10235,Point(-78.8537 37.5215),8382993
1744,55089,WI,Ozaukee County,1,4626,Point(-89.9941 44.6243),5771337
1745,22115,LA,Vernon Parish,4,7191,,3976322
1746,42077,PA,Lehigh County,2,48796,Point(-77.7996 40.8781),12802503
1747,8021,CO,Conejos County,9,1836,Point(-105.5478 38.9972),5456574
1748,13065,GA,Clinch County,6,1752,Point(-83.437611111 32.662027777),10214860
1749,16001,ID,Ada County,2,46600,Point(-114.613 44.3509),1654930
1750,24015,MD,Cecil County,1,10099,Point(-76.7909 39.055),6006401
1751,18095,IN,Madison County,3,21548,Point(-86.2816 39.8942),6619680
1752,9015,CT,Windham County,4,13297,Point(-72.7273 41.6219),3590886
1753,36099,NY,Seneca County,6,4322,Point(-75.5268 42.9538),19795791
1754,20023,KS,Cheyenne County,9,292,Point(-98.3804 38.4937),2911641
1755,22049,LA,Jackson Parish,6,3122,,3976322
1756,28109,MS,Pearl River County,6,10031,Point(-89.6678 32.7364),2992333
1757,54105,WV,Wirt County,3,1049,Point(-80.6227 38.6409),1844128
1758,1031,AL,Coffee County,6,7271,Point(-86.8287 32.7794),4858979
1759,39125,OH,Paulding County,6,2004,Point(-82.7937 40.2862),11613423
1760,18061,IN,Harrison County,1,3997,Point(-86.2816 39.8942),6619680
1761,28051,MS,Holmes County,6,7249,Point(-89.6678 32.7364),2992333
1762,48481,TX,Wharton County,4,7163,Point(-99.3312 31.4757),27469114
1763,20199,KS,Wallace County,9,179,Point(-98.3804 38.4937),2911641
1764,41009,OR,Columbia County,1,5537,Point(-120.5583 43.9336),4028977
1765,29125,MO,Maries County,8,1331,Point(-92.458 38.3566),6083672
1766,48265,TX,Kerr County,4,7348,Point(-99.3312 31.4757),27469114
1767,29147,MO,Nodaway County,6,3251,Point(-92.458 38.3566),6083672
1768,48037,TX,Bowie County,3,16884,Point(-99.3312 31.4757),27469114
1769,12097,FL,Osceola County,1,49326,Point(-82.4497 28.6305),20271272
1770,20201,KS,Washington County,9,588,Point(-98.3804 38.4937),2911641
1771,6003,CA,Alpine County,8,199,Point(-119.4696 37.1841),39144818
1772,20207,KS,Woodson County,9,571,Point(-98.3804 38.4937),2911641
1773,39173,OH,Wood County,2,14060,Point(-82.7937 40.2862),11613423
1774,24017,MD,Charles County,1,11536,Point(-76.7909 39.055),6006401
1775,37153,NC,Richmond County,4,10900,Point(-79.5 35.5),10042802
1776,48069,TX,Castro County,6,1372,Point(-99.3312 31.4757),27469114
1777,22029,LA,Concordia Parish,7,5239,,3976322
1778,6013,CA,Contra Costa County,1,97573,Point(-119.4696 37.1841),39144818
1779,17061,IL,Greene County,6,1928,Point(-89.1965 40.0417),12859995
1780,35001,NM,Bernalillo County,2,107909,Point(-106.1126 34.4071),2085109
1781,23009,ME,Hancock County,6,5877,Point(-69.2428 45.3695),1328361
1782,23023,ME,Sagadahoc County,2,3245,Point(-69.2428 45.3695),1328361
1783,47147,TN,Robertson County,1,7061,Point(-86.3505 35.858),6600299
1784,44005,RI,Newport County,1,7120,Point(-71.5562 41.6762),1056298
1785,17051,IL,Fayette County,6,3013,Point(-89.1965 40.0417),12859995
1786,29073,MO,Gasconade County,6,1758,Point(-92.458 38.3566),6083672
1787,28143,MS,Tunica County,1,3164,Point(-89.6678 32.7364),2992333
1788,13039,GA,Camden County,4,7573,Point(-83.437611111 32.662027777),10214860
1789,21015,KY,Boone County,1,9662,Point(-85.3021 37.5347),4425092
1790,20105,KS,Lincoln County,9,373,Point(-98.3804 38.4937),2911641
1791,12113,FL,Santa Rosa County,2,17308,Point(-82.4497 28.6305),20271272
1792,42107,PA,Schuylkill County,4,17479,Point(-77.7996 40.8781),12802503
1793,42067,PA,Juniata County,6,2490,Point(-77.7996 40.8781),12802503
1794,17009,IL,Brown County,7,774,Point(-89.1965 40.0417),12859995
1795,39081,OH,Jefferson County,3,10469,Point(-82.7937 40.2862),11613423
1796,18071,IN,Jackson County,4,5677,Point(-86.2816 39.8942),6619680
1797,19087,IA,Henry County,7,2279,Point(-93.496 42.0751),3046355
1798,48261,TX,Kenedy County,9,65,Point(-99.3312 31.4757),27469114
1799,17197,IL,Will County,1,48627,Point(-89.1965 40.0417),12859995
1800,45025,SC,Chesterfield County,6,9310,Point(-80.8964 33.9169),4896146
1801,5061,AR,Howard County,7,2455,Point(-92.4426 34.8938),2978204
1802,48095,TX,Concho County,8,682,Point(-99.3312 31.4757),27469114
1803,17079,IL,Jasper County,7,1009,Point(-89.1965 40.0417),12859995
1804,12041,FL,Gilchrist County,3,2825,Point(-82.4497 28.6305),20271272
1805,35029,NM,Luna County,6,6601,Point(-106.1126 34.4071),2085109
1806,13017,GA,Ben Hill County,7,4467,Point(-83.437611111 32.662027777),10214860
1807,46135,SD,Yankton County,7,2428,,1394928
1808,22005,LA,Ascension Parish,2,12864,,3976322
1809,37081,NC,Guilford County,2,92205,Point(-79.5 35.5),10042802
1810,51023,VA,Botetourt County,2,2560,Point(-78.8537 37.5215),8382993
1811,18039,IN,Elkhart County,3,26390,Point(-86.2816 39.8942),6619680
1812,21105,KY,Hickman County,9,884,Point(-85.3021 37.5347),4425092
1813,39053,OH,Gallia County,6,5995,Point(-82.7937 40.2862),11613423
1814,42011,PA,Berks County,2,52766,Point(-77.7996 40.8781),12802503
1815,48399,TX,Runnels County,6,1766,Point(-99.3312 31.4757),27469114
1816,29169,MO,Pulaski County,5,6044,Point(-92.458 38.3566),6083672
1817,51147,VA,Prince Edward County,6,4274,Point(-78.8537 37.5215),8382993
1818,30005,MT,Blaine County,9,1581,Point(-109.6333 47.0527),1032949
1819,54055,WV,Mercer County,5,11978,Point(-80.6227 38.6409),1844128
1820,48245,TX,Jefferson County,2,47920,Point(-99.3312 31.4757),27469114
1821,22011,LA,Beauregard Parish,6,5243,,3976322
1822,13169,GA,Jones County,3,3482,Point(-83.437611111 32.662027777),10214860
1823,29167,MO,Polk County,2,5004,Point(-92.458 38.3566),6083672
1824,25025,MA,Suffolk County,1,143799,Point(-71.8083 42.2596),6794422
1825,51083,VA,Halifax County,6,6380,Point(-78.8537 37.5215),8382993
1826,55119,WI,Taylor County,6,2376,Point(-89.9941 44.6243),5771337
1827,47075,TN,Haywood County,6,3530,Point(-86.3505 35.858),6600299
1828,29063,MO,DeKalb County,3,1429,Point(-92.458 38.3566),6083672
1829,37155,NC,Robeson County,4,35835,Point(-79.5 35.5),10042802
1830,21235,KY,Whitley County,7,10026,Point(-85.3021 37.5347),4425092
1831,17143,IL,Peoria County,2,27254,Point(-89.1965 40.0417),12859995
1832,50025,VT,Windham County,6,5318,Point(-72.6658 44.0687),626042
1833,12049,FL,Hardee County,6,6081,Point(-82.4497 28.6305),20271272
1834,6069,CA,San Benito County,1,6206,Point(-119.4696 37.1841),39144818
1835,30047,MT,Lake County,6,5645,Point(-109.6333 47.0527),1032949
1836,27067,MN,Kandiyohi County,4,4815,Point(-94.3053 46.2807),5489594
1837,48233,TX,Hutchinson County,6,2783,Point(-99.3312 31.4757),27469114
1838,51720,VA,Norton city,7,875,Point(-78.8537 37.5215),8382993
1839,30001,MT,Beaverhead County,7,1291,Point(-109.6333 47.0527),1032949
1840,38097,ND,Traill County,8,642,Point(-100.4659 47.4501),756927
1841,36089,NY,St. Lawrence County,5,17225,Point(-75.5268 42.9538),19795791
1842,48249,TX,Jim Wells County,4,9459,Point(-99.3312 31.4757),27469114
1843,19067,IA,Floyd County,7,2004,Point(-93.496 42.0751),3046355
1844,21161,KY,Mason County,6,3256,Point(-85.3021 37.5347),4425092
1845,46069,SD,Hyde County,9,122,,1394928
1846,8069,CO,Larimer County,2,37023,Point(-105.5478 38.9972),5456574
1847,45089,SC,Williamsburg County,6,9141,Point(-80.8964 33.9169),4896146
1848,19165,IA,Shelby County,6,1037,Point(-93.496 42.0751),3046355
1849,4019,AZ,Pima County,2,180513,Point(-111.6602 34.2744),6828065
1850,29049,MO,Clinton County,1,2089,Point(-92.458 38.3566),6083672
1851,51091,VA,Highland County,9,293,Point(-78.8537 37.5215),8382993
1852,5131,AR,Sebastian County,2,21232,Point(-92.4426 34.8938),2978204
1853,5003,AR,Ashley County,7,3636,Point(-92.4426 34.8938),2978204
1854,41005,OR,Clackamas County,1,35366,Point(-120.5583 43.9336),4028977
1855,29089,MO,Howard County,3,1484,Point(-92.458 38.3566),6083672
1856,56019,WY,Johnson County,7,737,Point(-107.5512 42.9957),586107
1857,36009,NY,Cattaraugus County,4,11014,Point(-75.5268 42.9538),19795791
1858,44009,RI,Washington County,1,11789,Point(-71.5562 41.6762),1056298
1859,39135,OH,Preble County,2,4494,Point(-82.7937 40.2862),11613423
1860,37141,NC,Pender County,2,8683,Point(-79.5 35.5),10042802
1861,40031,OK,Comanche County,3,18024,Point(-97.4943 35.5889),3911338
1862,39149,OH,Shelby County,4,4490,Point(-82.7937 40.2862),11613423
1863,48507,TX,Zavala County,7,3991,Point(-99.3312 31.4757),27469114
1864,47059,TN,Greene County,6,11398,Point(-86.3505 35.858),6600299
1865,54089,WV,Summers County,7,2921,Point(-80.6227 38.6409),1844128
1866,37131,NC,Northampton County,9,4319,Point(-79.5 35.5),10042802
1867,8111,CO,San Juan County,9,107,Point(-105.5478 38.9972),5456574
1868,18043,IN,Floyd County,1,7759,Point(-86.2816 39.8942),6619680
1869,2068,AK,Denali Borough,8,121,Point(-152.2782 64.0685),738432
1870,29095,MO,Jackson County,1,105697,Point(-92.458 38.3566),6083672
1871,46051,SD,Grant County,7,705,,1394928
