d3mIndex,FIPS,State,Area,RUCCode,POVALL_2016,capital
1139,20159,KS,Rice County,7,1167,Topeka
1140,19117,IA,Lucas County,6,1268,Des Moines
1141,29001,MO,Adair County,7,5343,Jefferson City
1142,48281,TX,Lampasas County,2,2793,Austin
1143,48503,TX,Young County,6,2599,Austin
1144,28025,MS,Clay County,7,4657,Jackson
1145,8101,CO,Pueblo County,3,32053,Denver
1146,37199,NC,Yancey County,8,3350,Raleigh
1147,26021,MI,Berrien County,3,25215,Lansing
1148,17031,IL,Cook County,1,770091,Springfield
1149,55069,WI,Lincoln County,6,2712,Madison
1150,20069,KS,Gray County,9,487,Topeka
1151,37139,NC,Pasquotank County,7,6395,Raleigh
1152,35041,NM,Roosevelt County,7,4006,Santa Fe
1153,21225,KY,Union County,6,2723,Frankfort
1154,21203,KY,Rockcastle County,7,3991,Frankfort
1155,46137,SD,Ziebach County,9,1223,
1156,51820,VA,Waynesboro city,4,3167,Richmond
1157,19077,IA,Guthrie County,2,1036,Des Moines
1158,48135,TX,Ector County,3,21548,Austin
1159,21027,KY,Breckinridge County,8,3386,Frankfort
1160,42049,PA,Erie County,2,41331,Harrisburg
1161,1037,AL,Coosa County,8,1801,Montgomery
1162,45087,SC,Union County,6,5756,Columbia
1163,22037,LA,East Feliciana Parish,2,3459,
1164,27073,MN,Lac qui Parle County,9,635,Saint Paul
1165,35053,NM,Socorro County,6,4181,Santa Fe
1166,48071,TX,Chambers County,1,3646,Austin
1167,37087,NC,Haywood County,2,9545,Raleigh
1168,55051,WI,Iron County,9,809,Madison
1169,36021,NY,Columbia County,6,7519,Albany
1170,54109,WV,Wyoming County,7,5155,Charleston
1171,39161,OH,Van Wert County,6,2489,Columbus
1172,29065,MO,Dent County,7,2995,Jefferson City
1173,21045,KY,Casey County,9,4260,Frankfort
1174,12091,FL,Okaloosa County,3,21032,Tallahassee
1175,48321,TX,Matagorda County,4,6392,Austin
1176,51760,VA,Richmond city,1,55062,Richmond
1177,40131,OK,Rogers County,2,8185,Oklahoma City
1178,26001,MI,Alcona County,9,1657,Lansing
1179,28039,MS,George County,3,3714,Jackson
1180,31185,NE,York County,7,1357,Lincoln
1181,12061,FL,Indian River County,3,18518,Tallahassee
1182,20209,KS,Wyandotte County,1,31432,Topeka
1183,28015,MS,Carroll County,9,1719,Jackson
1184,37029,NC,Camden County,8,902,Raleigh
1185,28147,MS,Walthall County,9,3476,Jackson
1186,26077,MI,Kalamazoo County,2,42141,Lansing
1187,5015,AR,Carroll County,6,4684,Little Rock
1188,39139,OH,Richland County,3,17904,Columbus
1189,38049,ND,McHenry County,9,641,Bismarck
1190,32023,NV,Nye County,6,6724,Carson City
1191,2188,AK,Northwest Arctic Borough,7,2114,Juneau
1192,40079,OK,Le Flore County,2,10398,Oklahoma City
1193,17159,IL,Richland County,7,2235,Springfield
1194,21055,KY,Crittenden County,6,1660,Frankfort
1195,5045,AR,Faulkner County,2,18782,Little Rock
1196,50027,VT,Windsor County,7,5479,Montpelier
1197,45051,SC,Horry County,3,47767,Columbia
1198,20019,KS,Chautauqua County,9,574,Topeka
1199,38059,ND,Morton County,3,2679,Bismarck
1200,9009,CT,New Haven County,2,94687,Hartford
1201,13003,GA,Atkinson County,9,2176,Atlanta
1202,38091,ND,Steele County,8,162,Bismarck
1203,40093,OK,Major County,9,925,Oklahoma City
1204,39043,OH,Erie County,3,9171,Columbus
1205,13091,GA,Dodge County,7,4730,Atlanta
1206,13229,GA,Pierce County,6,3282,Atlanta
1207,32001,NV,Churchill County,6,3371,Carson City
1208,24045,MD,Wicomico County,3,17634,Annapolis
1209,48229,TX,Hudspeth County,8,848,Austin
1210,42133,PA,York County,2,42508,Harrisburg
1211,27169,MN,Winona County,4,5416,Saint Paul
1212,28095,MS,Monroe County,7,6869,Jackson
1213,8071,CO,Las Animas County,7,2869,Denver
1214,13219,GA,Oconee County,3,2480,Atlanta
1215,27109,MN,Olmsted County,3,13027,Saint Paul
1216,17203,IL,Woodford County,2,2515,Springfield
1217,28129,MS,Smith County,8,2990,Jackson
1218,48225,TX,Houston County,7,4437,Austin
1219,47097,TN,Lauderdale County,6,6025,Nashville
1220,27031,MN,Cook County,9,526,Saint Paul
1221,45005,SC,Allendale County,6,3013,Columbia
1222,48301,TX,Loving County,9,15,Austin
1223,21143,KY,Lyon County,8,1152,Frankfort
1224,5025,AR,Cleveland County,3,1295,Little Rock
1225,21075,KY,Fulton County,7,1712,Frankfort
1226,56025,WY,Natrona County,3,8244,Cheyenne
1227,8083,CO,Montezuma County,6,4031,Denver
1228,56021,WY,Laramie County,3,9697,Cheyenne
1229,47049,TN,Fentress County,9,3812,Nashville
1230,20173,KS,Sedgwick County,2,75334,Topeka
1231,26107,MI,Mecosta County,6,8248,Lansing
1232,48413,TX,Schleicher County,8,503,Austin
1233,34023,NJ,Middlesex County,1,69642,Trenton
1234,5099,AR,Nevada County,7,1680,Little Rock
1235,9003,CT,Hartford County,1,95010,Hartford
1236,55078,WI,Menominee County,8,1214,Madison
1237,48309,TX,McLennan County,3,44099,Austin
1238,42001,PA,Adams County,4,9218,Harrisburg
1239,48091,TX,Comal County,1,11496,Austin
1240,45075,SC,Orangeburg County,4,19239,Columbia
1241,29081,MO,Harrison County,7,1520,Jefferson City
1242,16061,ID,Lewis County,8,611,Boise
1243,51095,VA,James City County,1,4739,Richmond
1244,48351,TX,Newton County,8,3023,Austin
1245,48459,TX,Upshur County,3,6235,Austin
1246,29199,MO,Scotland County,9,778,Jefferson City
1247,41001,OR,Baker County,7,2762,Salem
1248,19121,IA,Madison County,2,1218,Des Moines
1249,28009,MS,Benton County,8,2064,Jackson
1250,8059,CO,Jefferson County,1,39397,Denver
1251,17081,IL,Jefferson County,7,5697,Springfield
1252,21093,KY,Hardin County,3,14306,Frankfort
1253,8093,CO,Park County,1,1572,Denver
1254,45017,SC,Calhoun County,2,2370,Columbia
1255,8121,CO,Washington County,9,674,Denver
1256,36057,NY,Montgomery County,4,9610,Albany
1257,38043,ND,Kidder County,8,303,Bismarck
1258,48177,TX,Gonzales County,6,3519,Austin
1259,29177,MO,Ray County,1,2453,Jefferson City
1260,1131,AL,Wilcox County,8,3466,Montgomery
1261,49041,UT,Sevier County,7,2907,Salt Lake City
1262,20017,KS,Chase County,8,287,Topeka
1263,45007,SC,Anderson County,3,29703,Columbia
1264,48023,TX,Baylor County,6,630,Austin
1265,37069,NC,Franklin County,2,9624,Raleigh
1266,27097,MN,Morrison County,6,3871,Saint Paul
1267,6099,CA,Stanislaus County,2,77913,Sacramento
1268,13247,GA,Rockdale County,1,12943,Atlanta
1269,27075,MN,Lake County,6,946,Saint Paul
1270,29051,MO,Cole County,3,7821,Jefferson City
1271,49023,UT,Juab County,2,1157,Salt Lake City
1272,28057,MS,Itawamba County,7,4062,Jackson
1273,21035,KY,Calloway County,7,7430,Frankfort
1274,19107,IA,Keokuk County,8,1199,Des Moines
1275,31131,NE,Otoe County,6,1489,Lincoln
1276,12119,FL,Sumter County,4,12115,Tallahassee
1277,27167,MN,Wilkin County,6,553,Saint Paul
1278,41023,OR,Grant County,9,1132,Salem
1279,37189,NC,Watauga County,6,11717,Raleigh
1280,40119,OK,Payne County,4,18413,Oklahoma City
1281,40095,OK,Marshall County,6,2499,Oklahoma City
1282,18121,IN,Parke County,6,2497,Indianapolis
1283,4015,AZ,Mohave County,4,36665,Phoenix
1284,37051,NC,Cumberland County,2,59570,Raleigh
1285,19167,IA,Sioux County,6,2374,Des Moines
1286,20057,KS,Ford County,5,4453,Topeka
1287,47015,TN,Cannon County,1,2149,Nashville
1288,13299,GA,Ware County,4,8501,Atlanta
1289,26071,MI,Iron County,7,1672,Lansing
1290,17095,IL,Knox County,4,8036,Springfield
1291,26089,MI,Leelanau County,9,1739,Lansing
1292,6009,CA,Calaveras County,6,5833,Sacramento
1293,27027,MN,Clay County,3,7167,Saint Paul
1294,29165,MO,Platte County,1,5915,Jefferson City
1295,20099,KS,Labette County,7,4161,Topeka
1296,29113,MO,Lincoln County,1,6132,Jefferson City
1297,46102,SD,Oglala Lakota County,7,5854,
1298,33019,NH,Sullivan County,7,4016,Concord
1299,47181,TN,Wayne County,8,3032,Nashville
1300,26097,MI,Mackinac County,7,1465,Lansing
1301,56033,WY,Sheridan County,7,2691,Cheyenne
1302,17037,IL,DeKalb County,1,15566,Springfield
1303,29035,MO,Carter County,9,1298,Jefferson City
1304,5091,AR,Miller County,3,9504,Little Rock
1305,28069,MS,Kemper County,9,2532,Jackson
1306,42019,PA,Butler County,1,13334,Harrisburg
1307,18081,IN,Johnson County,1,11300,Indianapolis
1308,29023,MO,Butler County,7,9237,Jefferson City
1309,34015,NJ,Gloucester County,1,22402,Trenton
1310,51087,VA,Henrico County,1,29583,Richmond
1311,1047,AL,Dallas County,4,13987,Montgomery
1312,36041,NY,Hamilton County,8,463,Albany
1313,5105,AR,Perry County,2,1689,Little Rock
1314,19157,IA,Poweshiek County,7,1863,Des Moines
1315,20041,KS,Dickinson County,7,2084,Topeka
1316,29225,MO,Webster County,2,6189,Jefferson City
1317,26011,MI,Arenac County,8,2456,Lansing
1318,46019,SD,Butte County,6,1399,
1319,13127,GA,Glynn County,3,15916,Atlanta
1320,55057,WI,Juneau County,7,3561,Madison
1321,18127,IN,Porter County,1,12749,Indianapolis
1322,20083,KS,Hodgeman County,9,183,Topeka
1323,55127,WI,Walworth County,4,11191,Madison
1324,49055,UT,Wayne County,9,400,Salt Lake City
1325,10001,DE,Kent County,3,23060,Dover
1326,16007,ID,Bear Lake County,7,823,Boise
1327,39117,OH,Morrow County,1,4214,Columbus
1328,36027,NY,Dutchess County,2,25588,Albany
1329,9007,CT,Middlesex County,1,12513,Hartford
1330,8095,CO,Phillips County,9,484,Denver
1331,18007,IN,Benton County,3,980,Indianapolis
1332,9011,CT,New London County,2,23961,Hartford
1333,47019,TN,Carter County,3,11903,Nashville
1334,18117,IN,Orange County,6,3103,Indianapolis
1335,36035,NY,Fulton County,4,7878,Albany
1336,30105,MT,Valley County,7,928,Helena
1337,48063,TX,Camp County,6,2456,Austin
1338,28141,MS,Tishomingo County,8,3362,Jackson
1339,20053,KS,Ellsworth County,7,545,Topeka
1340,2220,AK,Sitka Borough,7,690,Juneau
1341,48419,TX,Shelby County,6,5345,Austin
1342,28065,MS,Jefferson Davis County,8,3034,Jackson
1343,48189,TX,Hale County,4,6809,Austin
1344,20177,KS,Shawnee County,3,18931,Topeka
1345,1027,AL,Clay County,9,2495,Montgomery
1346,19181,IA,Warren County,2,3263,Des Moines
1347,19051,IA,Davis County,9,1125,Des Moines
1348,48363,TX,Palo Pinto County,6,4547,Austin
1349,13269,GA,Taylor County,8,2004,Atlanta
1350,48017,TX,Bailey County,7,1165,Austin
1351,13057,GA,Cherokee County,1,17948,Atlanta
1352,56011,WY,Crook County,9,613,Cheyenne
1353,27059,MN,Isanti County,1,2955,Saint Paul
1354,46031,SD,Corson County,9,1614,
1355,28119,MS,Quitman County,6,2468,Jackson
1356,53031,WA,Jefferson County,6,3679,Olympia
1357,42109,PA,Snyder County,7,4775,Harrisburg
1358,29201,MO,Scott County,5,7004,Jefferson City
1359,13001,GA,Appling County,7,3542,Atlanta
1360,32013,NV,Humboldt County,7,1982,Carson City
1361,42111,PA,Somerset County,4,9885,Harrisburg
1362,27113,MN,Pennington County,6,1365,Saint Paul
1363,28163,MS,Yazoo County,6,8053,Jackson
1364,45081,SC,Saluda County,2,3329,Columbia
1365,39027,OH,Clinton County,6,5426,Columbus
1366,29059,MO,Dallas County,2,3025,Jefferson City
1367,16015,ID,Boise County,2,965,Boise
1368,6083,CA,Santa Barbara County,2,59468,Sacramento
1369,21219,KY,Todd County,8,2457,Frankfort
1370,48405,TX,San Augustine County,9,1933,Austin
1371,1017,AL,Chambers County,6,6656,Montgomery
1372,56035,WY,Sublette County,9,646,Cheyenne
1373,12003,FL,Baker County,1,4329,Tallahassee
1374,27041,MN,Douglas County,7,3172,Saint Paul
1375,13093,GA,Dooly County,6,3386,Atlanta
1376,29013,MO,Bates County,1,2204,Jefferson City
1377,4027,AZ,Yuma County,3,37850,Phoenix
1378,29119,MO,McDonald County,2,4776,Jefferson City
1379,5073,AR,Lafayette County,8,1838,Little Rock
1380,5031,AR,Craighead County,3,16548,Little Rock
1381,47121,TN,Meigs County,8,2164,Nashville
1382,54019,WV,Fayette County,6,8365,Charleston
1383,24005,MD,Baltimore County,1,72978,Annapolis
1384,51101,VA,King William County,1,1248,Richmond
1385,48409,TX,San Patricio County,2,10570,Austin
1386,48073,TX,Cherokee County,6,9463,Austin
1387,5019,AR,Clark County,7,4406,Little Rock
1388,49011,UT,Davis County,2,21271,Salt Lake City
1389,53015,WA,Cowlitz County,3,16863,Olympia
1390,42021,PA,Cambria County,3,20033,Harrisburg
1391,51678,VA,Lexington city,6,965,Richmond
1392,55079,WI,Milwaukee County,1,183511,Madison
1393,48315,TX,Marion County,8,2250,Austin
1394,42093,PA,Montour County,6,1966,Harrisburg
1395,17167,IL,Sangamon County,3,26767,Springfield
1396,51650,VA,Hampton city,1,21458,Richmond
1397,35035,NM,Otero County,4,12945,Santa Fe
1398,47155,TN,Sevier County,4,14386,Nashville
1399,17005,IL,Bond County,1,2031,Springfield
1400,29159,MO,Pettis County,4,6263,Jefferson City
1401,20013,KS,Brown County,6,1272,Topeka
1402,47089,TN,Jefferson County,3,8112,Nashville
1403,29083,MO,Henry County,6,4402,Jefferson City
1404,51105,VA,Lee County,8,6727,Richmond
1405,6065,CA,Riverside County,1,359774,Sacramento
1406,18175,IN,Washington County,1,3898,Indianapolis
1407,36055,NY,Monroe County,1,106742,Albany
1408,19035,IA,Cherokee County,6,1213,Des Moines
1409,48161,TX,Freestone County,7,3435,Austin
1410,45091,SC,York County,1,27264,Columbia
1411,40101,OK,Muskogee County,4,14106,Oklahoma City
1412,46079,SD,Lake County,6,1049,
1413,49033,UT,Rich County,8,215,Salt Lake City
1414,48139,TX,Ellis County,1,16121,Austin
1415,51049,VA,Cumberland County,1,1747,Richmond
1416,27071,MN,Koochiching County,7,1773,Saint Paul
1417,8067,CO,La Plata County,6,5861,Denver
1418,2060,AK,Bristol Bay Borough,9,100,Juneau
1419,48445,TX,Terry County,6,2532,Austin
1420,21201,KY,Robertson County,8,514,Frankfort
1421,13025,GA,Brantley County,3,3795,Atlanta
1422,16077,ID,Power County,3,1188,Boise
1423,31137,NE,Phelps County,7,827,Lincoln
1424,39155,OH,Trumbull County,2,34839,Columbus
1425,39165,OH,Warren County,1,11823,Columbus
1426,13241,GA,Rabun County,9,2794,Atlanta
1427,40015,OK,Caddo County,6,5877,Oklahoma City
1428,45041,SC,Florence County,3,24811,Columbia
1429,56003,WY,Big Horn County,9,1342,Cheyenne
1430,51109,VA,Louisa County,1,4261,Richmond
1431,53065,WA,Stevens County,6,6284,Olympia
1432,26069,MI,Iosco County,7,4531,Lansing
1433,34033,NJ,Salem County,1,7868,Trenton
1434,37091,NC,Hertford County,7,5612,Raleigh
1435,6049,CA,Modoc County,6,1571,Sacramento
1436,18085,IN,Kosciusko County,4,7985,Indianapolis
1437,31083,NE,Harlan County,9,414,Lincoln
1438,13293,GA,Upson County,6,5124,Atlanta
1439,51033,VA,Caroline County,1,2937,Richmond
1440,20033,KS,Comanche County,9,208,Topeka
1441,12125,FL,Union County,6,2512,Tallahassee
1442,37057,NC,Davidson County,4,25150,Raleigh
1443,50015,VT,Lamoille County,8,2986,Montpelier
1444,30021,MT,Dawson County,7,989,Helena
1445,13009,GA,Baldwin County,4,10273,Atlanta
1446,6035,CA,Lassen County,6,4085,Sacramento
1447,21127,KY,Lawrence County,6,4251,Frankfort
1448,17003,IL,Alexander County,7,1857,Springfield
1449,13279,GA,Toombs County,7,6266,Atlanta
1450,39169,OH,Wayne County,4,13372,Columbus
1451,53007,WA,Chelan County,3,8665,Olympia
1452,13097,GA,Douglas County,1,18191,Atlanta
1453,21193,KY,Perry County,7,8254,Frankfort
1454,6053,CA,Monterey County,2,53898,Sacramento
1455,13223,GA,Paulding County,1,13373,Atlanta
1456,55039,WI,Fond du Lac County,3,7631,Madison
1457,55005,WI,Barron County,6,5041,Madison
1458,19019,IA,Buchanan County,6,2084,Des Moines
1459,48187,TX,Guadalupe County,1,15051,Austin
1460,23031,ME,York County,2,16132,Augusta
1461,23029,ME,Washington County,7,5615,Augusta
1462,37135,NC,Orange County,2,17049,Raleigh
1463,42119,PA,Union County,4,4284,Harrisburg
1464,45059,SC,Laurens County,2,11753,Columbia
1465,28031,MS,Covington County,8,4531,Jackson
1466,2180,AK,Nome Census Area,7,2337,Juneau
1467,47117,TN,Marshall County,6,4148,Nashville
1468,45047,SC,Greenwood County,4,14687,Columbia
1469,1041,AL,Crenshaw County,8,2822,Montgomery
1470,40057,OK,Harmon County,9,679,Oklahoma City
1471,38093,ND,Stutsman County,7,2184,Bismarck
1472,51153,VA,Prince William County,1,33308,Richmond
1473,28021,MS,Claiborne County,6,3060,Jackson
1474,39111,OH,Monroe County,8,2130,Columbus
1475,51011,VA,Appomattox County,3,2130,Richmond
1476,39109,OH,Miami County,2,9860,Columbus
1477,20183,KS,Smith County,9,507,Topeka
1478,51600,VA,Fairfax city,1,1611,Richmond
1479,20003,KS,Anderson County,6,992,Topeka
1480,21223,KY,Trimble County,1,1263,Frankfort
1481,5101,AR,Newton County,9,1566,Little Rock
1482,46065,SD,Hughes County,7,1430,
1483,20009,KS,Barton County,7,3621,Topeka
1484,56043,WY,Washakie County,7,1060,Cheyenne
1485,49045,UT,Tooele County,2,5189,Salt Lake City
1486,48157,TX,Fort Bend County,1,60925,Austin
1487,31029,NE,Chase County,9,359,Lincoln
1488,48273,TX,Kleberg County,4,6871,Austin
1489,38077,ND,Richland County,6,1558,Bismarck
1490,53033,WA,King County,1,196841,Olympia
1491,28117,MS,Prentiss County,7,5868,Jackson
1492,55109,WI,St. Croix County,1,4917,Madison
1493,13155,GA,Irwin County,7,1997,Atlanta
1494,55095,WI,Polk County,6,4233,Madison
1495,2130,AK,Ketchikan Gateway Borough,7,1245,Juneau
1496,55009,WI,Brown County,2,24903,Madison
1497,21139,KY,Livingston County,9,1329,Frankfort
1498,20049,KS,Elk County,8,447,Topeka
1499,31183,NE,Wheeler County,9,88,Lincoln
1500,45023,SC,Chester County,6,6328,Columbia
1501,51017,VA,Bath County,9,516,Richmond
1502,12131,FL,Walton County,6,8331,Tallahassee
1503,20131,KS,Nemaha County,8,928,Topeka
1504,37115,NC,Madison County,2,3786,Raleigh
1505,39143,OH,Sandusky County,4,6750,Columbus
1506,18049,IN,Fulton County,7,2471,Indianapolis
1507,39123,OH,Ottawa County,2,4160,Columbus
1508,17195,IL,Whiteside County,4,6586,Springfield
1509,48337,TX,Montague County,6,3165,Austin
1510,26137,MI,Otsego County,7,3369,Lansing
1511,9005,CT,Litchfield County,4,12952,Hartford
1512,6057,CA,Nevada County,4,10662,Sacramento
1513,48209,TX,Hays County,1,24332,Austin
1514,45037,SC,Edgefield County,2,4180,Columbia
1515,55137,WI,Waushara County,8,3263,Madison
1516,31125,NE,Nance County,9,432,Lincoln
1517,20007,KS,Barber County,9,559,Topeka
1518,42025,PA,Carbon County,2,8210,Harrisburg
1519,20071,KS,Greeley County,9,149,Topeka
1520,36051,NY,Livingston County,1,8072,Albany
1521,48483,TX,Wheeler County,9,736,Austin
1522,6021,CA,Glenn County,6,4632,Sacramento
1523,39015,OH,Brown County,1,7196,Columbus
1524,42009,PA,Bedford County,6,6550,Harrisburg
1525,26081,MI,Kent County,2,76343,Lansing
1526,13207,GA,Monroe County,3,3197,Atlanta
1527,20067,KS,Grant County,7,909,Topeka
1528,48407,TX,San Jacinto County,1,4876,Austin
1529,8075,CO,Logan County,7,3056,Denver
1530,21003,KY,Allen County,6,3790,Frankfort
1531,30043,MT,Jefferson County,9,1032,Helena
1532,26041,MI,Delta County,5,5107,Lansing
1533,35028,NM,Los Alamos County,6,720,Santa Fe
1534,16053,ID,Jerome County,7,3644,Boise
1535,28081,MS,Lee County,5,14332,Jackson
1536,21013,KY,Bell County,7,10096,Frankfort
1537,29163,MO,Pike County,6,2907,Jefferson City
1538,29155,MO,Pemiscot County,7,5198,Jefferson City
1539,16081,ID,Teton County,9,1057,Boise
1540,55063,WI,La Crosse County,3,14977,Madison
1541,32015,NV,Lander County,7,674,Carson City
1542,56031,WY,Platte County,7,1031,Cheyenne
1543,27083,MN,Lyon County,7,3167,Saint Paul
1544,21041,KY,Carroll County,6,2152,Frankfort
1545,17171,IL,Scott County,9,575,Springfield
1546,46057,SD,Hamlin County,9,557,
1547,19145,IA,Page County,7,2046,Des Moines
1548,13133,GA,Greene County,6,3067,Atlanta
1549,29203,MO,Shannon County,9,2133,Jefferson City
1550,37109,NC,Lincoln County,4,10179,Raleigh
1551,35007,NM,Colfax County,7,2525,Santa Fe
1552,46029,SD,Codington County,7,3264,
1553,50001,VT,Addison County,6,3318,Montpelier
1554,47149,TN,Rutherford County,1,31097,Nashville
1555,55081,WI,Monroe County,6,5384,Madison
1556,53063,WA,Spokane County,2,64514,Olympia
1557,48179,TX,Gray County,6,4001,Austin
1558,26045,MI,Eaton County,2,12005,Lansing
1559,8109,CO,Saguache County,9,1757,Denver
1560,29141,MO,Morgan County,8,3885,Jefferson City
1561,16087,ID,Washington County,6,1517,Boise
1562,26113,MI,Missaukee County,9,2198,Lansing
1563,29209,MO,Stone County,8,3960,Jefferson City
1564,38073,ND,Ransom County,8,421,Bismarck
1565,42089,PA,Monroe County,4,19303,Harrisburg
1566,29217,MO,Vernon County,7,3498,Jefferson City
1567,55083,WI,Oconto County,2,3364,Madison
1568,28045,MS,Hancock County,3,7976,Jackson
1569,13089,GA,DeKalb County,1,127476,Atlanta
1570,13309,GA,Wheeler County,9,2111,Atlanta
1571,21135,KY,Lewis County,8,3545,Frankfort
1572,46039,SD,Deuel County,9,411,
1573,48211,TX,Hemphill County,9,406,Austin
1574,29215,MO,Texas County,9,7130,Jefferson City
1575,5053,AR,Grant County,2,2062,Little Rock
1576,38099,ND,Walsh County,6,1176,Bismarck
1577,45073,SC,Oconee County,6,11021,Columbia
1578,13081,GA,Crisp County,6,6751,Atlanta
1579,49025,UT,Kane County,6,745,Salt Lake City
1580,40027,OK,Cleveland County,1,33109,Oklahoma City
1581,36015,NY,Chemung County,3,12390,Albany
1582,27121,MN,Pope County,8,991,Saint Paul
1583,16023,ID,Butte County,8,451,Boise
1584,46037,SD,Day County,9,759,
1585,31005,NE,Arthur County,9,56,Lincoln
1586,50009,VT,Essex County,9,966,Montpelier
1587,16051,ID,Jefferson County,3,2875,Boise
1588,12077,FL,Liberty County,8,1468,Tallahassee
1589,4001,AZ,Apache County,6,23966,Phoenix
1590,41047,OR,Marion County,2,44581,Salem
1591,48271,TX,Kinney County,9,652,Austin
1592,22127,LA,Winn Parish,6,3080,
1593,31011,NE,Boone County,9,525,Lincoln
1594,26121,MI,Muskegon County,3,31393,Lansing
1595,46023,SD,Charles Mix County,9,1951,
1596,30073,MT,Pondera County,7,1083,Helena
1597,30029,MT,Flathead County,5,11897,Helena
1598,29510,MO,St. Louis city,1,73250,Jefferson City
1599,36079,NY,Putnam County,1,5844,Albany
1600,18013,IN,Brown County,1,1613,Indianapolis
1601,48215,TX,Hidalgo County,2,262028,Austin
1602,12069,FL,Lake County,1,39212,Tallahassee
1603,31177,NE,Washington County,2,1405,Lincoln
1604,47071,TN,Hardin County,6,5438,Nashville
1605,48057,TX,Calhoun County,3,3420,Austin
1606,42073,PA,Lawrence County,4,11672,Harrisburg
1607,22061,LA,Lincoln Parish,4,12959,
1608,39133,OH,Portage County,2,20743,Columbus
1609,30039,MT,Granite County,8,438,Helena
1610,53037,WA,Kittitas County,6,7724,Olympia
1611,53005,WA,Benton County,3,20153,Olympia
1612,27063,MN,Jackson County,7,858,Saint Paul
1613,48181,TX,Grayson County,3,16550,Austin
1614,13145,GA,Harris County,2,2883,Atlanta
1615,20063,KS,Gove County,9,264,Topeka
1616,24027,MD,Howard County,1,16536,Annapolis
1617,26099,MI,Macomb County,1,94224,Lansing
1618,39029,OH,Columbiana County,4,17130,Columbus
1619,1075,AL,Lamar County,9,2545,Montgomery
1620,20185,KS,Stafford County,9,547,Topeka
1621,51177,VA,Spotsylvania County,1,9648,Richmond
1622,20203,KS,Wichita County,9,244,Topeka
1623,38031,ND,Foster County,9,287,Bismarck
1624,39147,OH,Seneca County,4,6782,Columbus
1625,28047,MS,Harrison County,3,40472,Jackson
1626,26119,MI,Montmorency County,9,1535,Lansing
1627,39045,OH,Fairfield County,1,14445,Columbus
1628,1079,AL,Lawrence County,3,5530,Montgomery
1629,29019,MO,Boone County,3,27774,Jefferson City
1630,37187,NC,Washington County,7,3147,Raleigh
1631,5127,AR,Scott County,6,1991,Little Rock
1632,27095,MN,Mille Lacs County,6,3047,Saint Paul
1633,18093,IN,Lawrence County,4,6139,Indianapolis
1634,31157,NE,Scotts Bluff County,5,5645,Lincoln
1635,51025,VA,Brunswick County,6,3275,Richmond
1636,29175,MO,Randolph County,6,3616,Jefferson City
1637,39069,OH,Henry County,6,2258,Columbus
1638,17091,IL,Kankakee County,3,14958,Springfield
1639,49003,UT,Box Elder County,4,5008,Salt Lake City
1640,39087,OH,Lawrence County,2,10771,Columbus
1641,30097,MT,Sweet Grass County,9,351,Helena
1642,26131,MI,Ontonagon County,9,925,Lansing
1643,47053,TN,Gibson County,4,8157,Nashville
1644,27145,MN,Stearns County,3,17429,Saint Paul
1645,16069,ID,Nez Perce County,3,5861,Boise
1646,12029,FL,Dixie County,6,3697,Tallahassee
1647,48171,TX,Gillespie County,7,2563,Austin
1648,20021,KS,Cherokee County,6,3148,Topeka
1649,55123,WI,Vernon County,6,5019,Madison
1650,18179,IN,Wells County,2,2663,Indianapolis
1651,5107,AR,Phillips County,7,6042,Little Rock
1652,31145,NE,Red Willow County,7,1100,Lincoln
1653,54063,WV,Monroe County,8,2295,Charleston
1654,55087,WI,Outagamie County,3,14548,Madison
1655,1123,AL,Tallapoosa County,6,8111,Montgomery
1656,19133,IA,Monona County,6,1111,Des Moines
1657,41063,OR,Wallowa County,9,1000,Salem
1658,54075,WV,Pocahontas County,9,1495,Charleston
1659,34037,NJ,Sussex County,1,8460,Trenton
1660,30009,MT,Carbon County,3,1071,Helena
1661,21113,KY,Jessamine County,2,8014,Frankfort
1662,49007,UT,Carbon County,7,3013,Salt Lake City
1663,29135,MO,Moniteau County,3,1696,Jefferson City
1664,39107,OH,Mercer County,7,3308,Columbus
1665,54069,WV,Ohio County,3,6361,Charleston
1666,21167,KY,Mercer County,6,3088,Frankfort
1667,1107,AL,Pickens County,8,4756,Montgomery
1668,51065,VA,Fluvanna County,3,1867,Richmond
1669,8037,CO,Eagle County,5,4239,Denver
1670,13251,GA,Screven County,6,3744,Atlanta
1671,18123,IN,Perry County,6,2612,Indianapolis
1672,39163,OH,Vinton County,9,2661,Columbus
1673,6073,CA,San Diego County,1,400028,Sacramento
1674,19083,IA,Hardin County,6,1807,Des Moines
1675,31085,NE,Hayes County,9,150,Lincoln
1676,56041,WY,Uinta County,7,2183,Cheyenne
1677,46059,SD,Hand County,9,295,
1678,27163,MN,Washington County,1,11304,Saint Paul
1679,48207,TX,Haskell County,6,1258,Austin
1680,26083,MI,Keweenaw County,9,269,Lansing
1681,48129,TX,Donley County,8,593,Austin
1682,37025,NC,Cabarrus County,1,21980,Raleigh
1683,30013,MT,Cascade County,3,11333,Helena
1684,40049,OK,Garvin County,6,4791,Oklahoma City
1685,30031,MT,Gallatin County,5,11526,Helena
1686,35055,NM,Taos County,7,7354,Santa Fe
1687,18161,IN,Union County,8,912,Indianapolis
1688,51700,VA,Newport News city,1,25395,Richmond
