d3mIndex,FIPS,State,Area,RUCCode,POVALL_2016,population,short name
1058,48107,TX,Crosby County,3,1425,27469114,ustx
1059,48333,TX,Mills County,9,750,27469114,ustx
1060,25001,MA,Barnstable County,3,15972,6794422,MA
1061,42015,PA,Bradford County,6,6904,12802503,PA
1062,38081,ND,Sargent County,9,296,756927,ND
1063,31133,NE,Pawnee County,9,400,1896190,NE
1064,19147,IA,Palo Alto County,7,899,3046355,IA
1065,13301,GA,Warren County,8,1511,10214860,GA
1066,48199,TX,Hardin County,2,6001,27469114,ustx
1067,1099,AL,Monroe County,7,5472,4858979,AL
1068,19151,IA,Pocahontas County,9,792,3046355,IA
1069,18057,IN,Hamilton County,1,14927,6619680,IN
1070,48397,TX,Rockwall County,1,4845,27469114,ustx
1071,28055,MS,Issaquena County,9,409,2992333,MS
1072,46005,SD,Beadle County,7,2484,1394928,
1073,28093,MS,Marshall County,1,7772,2992333,MS
1074,41051,OR,Multnomah County,1,111262,4028977,OR
1075,51139,VA,Page County,6,3833,8382993,VA
1076,28073,MS,Lamar County,3,7614,2992333,MS
1077,45061,SC,Lee County,6,4443,4896146,SC
1078,46003,SD,Aurora County,9,275,1394928,
1079,27137,MN,St. Louis County,2,28177,5489594,MN
1080,31059,NE,Fillmore County,9,540,1896190,NE
1081,34019,NJ,Hunterdon County,1,5431,8958013,NJ
1082,42013,PA,Blair County,3,16430,12802503,PA
1083,48473,TX,Waller County,1,7591,27469114,ustx
1084,30099,MT,Teton County,8,824,1032949,MT
1085,8115,CO,Sedgwick County,9,352,5456574,Colo.
1086,53029,WA,Island County,4,7577,7170351,Wash.
1087,31093,NE,Howard County,9,663,1896190,NE
1088,20153,KS,Rawlins County,9,310,2911641,KS
1089,27011,MN,Big Stone County,9,584,5489594,MN
1090,30041,MT,Hill County,7,3140,1032949,MT
1091,24043,MD,Washington County,3,18771,6006401,Md.
1092,12071,FL,Lee County,2,91333,20271272,Fla.
1093,27147,MN,Steele County,5,3315,5489594,MN
1094,17109,IL,McDonough County,5,5470,12859995,IL
1095,47145,TN,Roane County,4,7416,6600299,TN
1096,40083,OK,Logan County,1,6510,3911338,OK
1097,17161,IL,Rock Island County,2,21769,12859995,IL
1098,27139,MN,Scott County,1,7784,5489594,MN
1099,47125,TN,Montgomery County,3,24640,6600299,TN
1100,51057,VA,Essex County,8,1439,8382993,VA
1101,54085,WV,Ritchie County,8,1764,1844128,WV
1102,47129,TN,Morgan County,6,4368,6600299,TN
1103,51143,VA,Pittsylvania County,3,8211,8382993,VA
1104,51045,VA,Craig County,2,648,8382993,VA
1105,19007,IA,Appanoose County,7,2304,3046355,IA
1106,51013,VA,Arlington County,1,17151,8382993,VA
1107,5069,AR,Jefferson County,3,15094,2978204,AR
1108,19011,IA,Benton County,3,1975,3046355,IA
1109,45049,SC,Hampton County,6,4104,4896146,SC
1110,40013,OK,Bryan County,6,7519,3911338,OK
1111,18047,IN,Franklin County,1,2414,6619680,IN
1112,41003,OR,Benton County,3,15546,4028977,OR
1113,51590,VA,Danville city,3,9003,8382993,VA
1114,31073,NE,Gosper County,9,189,1896190,NE
1115,55025,WI,Dane County,2,56594,5771337,WI
1116,17059,IL,Gallatin County,8,1061,12859995,IL
1117,13051,GA,Chatham County,2,45636,10214860,GA
1118,48067,TX,Cass County,6,5206,27469114,ustx
1119,51036,VA,Charles City County,1,877,8382993,VA
1120,24003,MD,Anne Arundel County,1,38816,6006401,Md.
1121,31165,NE,Sioux County,9,192,1896190,NE
1122,34003,NJ,Bergen County,1,63789,8958013,NJ
1123,13235,GA,Pulaski County,6,2505,10214860,GA
1124,12057,FL,Hillsborough County,1,203350,20271272,Fla.
1125,46047,SD,Fall River County,7,862,1394928,
1126,46045,SD,Edmunds County,9,377,1394928,
1127,18183,IN,Whitley County,2,2954,6619680,IN
1128,30057,MT,Madison County,9,877,1032949,MT
1129,9001,CT,Fairfield County,2,79966,3590886,Ct.
1130,36031,NY,Essex County,6,4532,19795791,N.Y.
1131,17151,IL,Pope County,9,720,12859995,IL
1132,35027,NM,Lincoln County,7,3500,2085109,NM
1133,30045,MT,Judith Basin County,8,259,1032949,MT
1134,29221,MO,Washington County,1,5186,6083672,MO
1135,30053,MT,Lincoln County,7,3550,1032949,MT
1136,2185,AK,North Slope Borough,7,1132,738432,AK
1137,45021,SC,Cherokee County,4,10318,4896146,SC
1138,20119,KS,Meade County,9,444,2911641,KS
1139,20159,KS,Rice County,7,1167,2911641,KS
1140,19117,IA,Lucas County,6,1268,3046355,IA
1141,29001,MO,Adair County,7,5343,6083672,MO
1142,48281,TX,Lampasas County,2,2793,27469114,ustx
1143,48503,TX,Young County,6,2599,27469114,ustx
1144,28025,MS,Clay County,7,4657,2992333,MS
1145,8101,CO,Pueblo County,3,32053,5456574,Colo.
1146,37199,NC,Yancey County,8,3350,10042802,NC
1147,26021,MI,Berrien County,3,25215,9922576,MI
1148,17031,IL,Cook County,1,770091,12859995,IL
1149,55069,WI,Lincoln County,6,2712,5771337,WI
1150,20069,KS,Gray County,9,487,2911641,KS
1151,37139,NC,Pasquotank County,7,6395,10042802,NC
1152,35041,NM,Roosevelt County,7,4006,2085109,NM
1153,21225,KY,Union County,6,2723,4425092,KY
1154,21203,KY,Rockcastle County,7,3991,4425092,KY
1155,46137,SD,Ziebach County,9,1223,1394928,
1156,51820,VA,Waynesboro city,4,3167,8382993,VA
1157,19077,IA,Guthrie County,2,1036,3046355,IA
1158,48135,TX,Ector County,3,21548,27469114,ustx
1159,21027,KY,Breckinridge County,8,3386,4425092,KY
1160,42049,PA,Erie County,2,41331,12802503,PA
1161,1037,AL,Coosa County,8,1801,4858979,AL
1162,45087,SC,Union County,6,5756,4896146,SC
1163,22037,LA,East Feliciana Parish,2,3459,3976322,LA
1164,27073,MN,Lac qui Parle County,9,635,5489594,MN
1165,35053,NM,Socorro County,6,4181,2085109,NM
1166,48071,TX,Chambers County,1,3646,27469114,ustx
1167,37087,NC,Haywood County,2,9545,10042802,NC
1168,55051,WI,Iron County,9,809,5771337,WI
1169,36021,NY,Columbia County,6,7519,19795791,N.Y.
1170,54109,WV,Wyoming County,7,5155,1844128,WV
1171,39161,OH,Van Wert County,6,2489,11613423,OH
1172,29065,MO,Dent County,7,2995,6083672,MO
1173,21045,KY,Casey County,9,4260,4425092,KY
1174,12091,FL,Okaloosa County,3,21032,20271272,Fla.
1175,48321,TX,Matagorda County,4,6392,27469114,ustx
1176,51760,VA,Richmond city,1,55062,8382993,VA
1177,40131,OK,Rogers County,2,8185,3911338,OK
1178,26001,MI,Alcona County,9,1657,9922576,MI
1179,28039,MS,George County,3,3714,2992333,MS
1180,31185,NE,York County,7,1357,1896190,NE
1181,12061,FL,Indian River County,3,18518,20271272,Fla.
1182,20209,KS,Wyandotte County,1,31432,2911641,KS
1183,28015,MS,Carroll County,9,1719,2992333,MS
1184,37029,NC,Camden County,8,902,10042802,NC
1185,28147,MS,Walthall County,9,3476,2992333,MS
1186,26077,MI,Kalamazoo County,2,42141,9922576,MI
1187,5015,AR,Carroll County,6,4684,2978204,AR
1188,39139,OH,Richland County,3,17904,11613423,OH
1189,38049,ND,McHenry County,9,641,756927,ND
1190,32023,NV,Nye County,6,6724,2890845,NV
1191,2188,AK,Northwest Arctic Borough,7,2114,738432,AK
1192,40079,OK,Le Flore County,2,10398,3911338,OK
1193,17159,IL,Richland County,7,2235,12859995,IL
1194,21055,KY,Crittenden County,6,1660,4425092,KY
1195,5045,AR,Faulkner County,2,18782,2978204,AR
1196,50027,VT,Windsor County,7,5479,626042,VT
1197,45051,SC,Horry County,3,47767,4896146,SC
1198,20019,KS,Chautauqua County,9,574,2911641,KS
1199,38059,ND,Morton County,3,2679,756927,ND
1200,9009,CT,New Haven County,2,94687,3590886,Ct.
1201,13003,GA,Atkinson County,9,2176,10214860,GA
1202,38091,ND,Steele County,8,162,756927,ND
1203,40093,OK,Major County,9,925,3911338,OK
1204,39043,OH,Erie County,3,9171,11613423,OH
1205,13091,GA,Dodge County,7,4730,10214860,GA
1206,13229,GA,Pierce County,6,3282,10214860,GA
1207,32001,NV,Churchill County,6,3371,2890845,NV
1208,24045,MD,Wicomico County,3,17634,6006401,Md.
1209,48229,TX,Hudspeth County,8,848,27469114,ustx
1210,42133,PA,York County,2,42508,12802503,PA
1211,27169,MN,Winona County,4,5416,5489594,MN
1212,28095,MS,Monroe County,7,6869,2992333,MS
1213,8071,CO,Las Animas County,7,2869,5456574,Colo.
1214,13219,GA,Oconee County,3,2480,10214860,GA
1215,27109,MN,Olmsted County,3,13027,5489594,MN
1216,17203,IL,Woodford County,2,2515,12859995,IL
1217,28129,MS,Smith County,8,2990,2992333,MS
1218,48225,TX,Houston County,7,4437,27469114,ustx
1219,47097,TN,Lauderdale County,6,6025,6600299,TN
1220,27031,MN,Cook County,9,526,5489594,MN
1221,45005,SC,Allendale County,6,3013,4896146,SC
1222,48301,TX,Loving County,9,15,27469114,ustx
1223,21143,KY,Lyon County,8,1152,4425092,KY
1224,5025,AR,Cleveland County,3,1295,2978204,AR
1225,21075,KY,Fulton County,7,1712,4425092,KY
1226,56025,WY,Natrona County,3,8244,586107,WY
1227,8083,CO,Montezuma County,6,4031,5456574,Colo.
1228,56021,WY,Laramie County,3,9697,586107,WY
1229,47049,TN,Fentress County,9,3812,6600299,TN
1230,20173,KS,Sedgwick County,2,75334,2911641,KS
1231,26107,MI,Mecosta County,6,8248,9922576,MI
1232,48413,TX,Schleicher County,8,503,27469114,ustx
1233,34023,NJ,Middlesex County,1,69642,8958013,NJ
1234,5099,AR,Nevada County,7,1680,2978204,AR
1235,9003,CT,Hartford County,1,95010,3590886,Ct.
1236,55078,WI,Menominee County,8,1214,5771337,WI
1237,48309,TX,McLennan County,3,44099,27469114,ustx
1238,42001,PA,Adams County,4,9218,12802503,PA
1239,48091,TX,Comal County,1,11496,27469114,ustx
1240,45075,SC,Orangeburg County,4,19239,4896146,SC
1241,29081,MO,Harrison County,7,1520,6083672,MO
1242,16061,ID,Lewis County,8,611,1654930,ID
1243,51095,VA,James City County,1,4739,8382993,VA
1244,48351,TX,Newton County,8,3023,27469114,ustx
1245,48459,TX,Upshur County,3,6235,27469114,ustx
1246,29199,MO,Scotland County,9,778,6083672,MO
1247,41001,OR,Baker County,7,2762,4028977,OR
1248,19121,IA,Madison County,2,1218,3046355,IA
1249,28009,MS,Benton County,8,2064,2992333,MS
1250,8059,CO,Jefferson County,1,39397,5456574,Colo.
1251,17081,IL,Jefferson County,7,5697,12859995,IL
1252,21093,KY,Hardin County,3,14306,4425092,KY
1253,8093,CO,Park County,1,1572,5456574,Colo.
1254,45017,SC,Calhoun County,2,2370,4896146,SC
1255,8121,CO,Washington County,9,674,5456574,Colo.
1256,36057,NY,Montgomery County,4,9610,19795791,N.Y.
1257,38043,ND,Kidder County,8,303,756927,ND
1258,48177,TX,Gonzales County,6,3519,27469114,ustx
1259,29177,MO,Ray County,1,2453,6083672,MO
1260,1131,AL,Wilcox County,8,3466,4858979,AL
1261,49041,UT,Sevier County,7,2907,2763885,UT
1262,20017,KS,Chase County,8,287,2911641,KS
1263,45007,SC,Anderson County,3,29703,4896146,SC
1264,48023,TX,Baylor County,6,630,27469114,ustx
1265,37069,NC,Franklin County,2,9624,10042802,NC
1266,27097,MN,Morrison County,6,3871,5489594,MN
1267,6099,CA,Stanislaus County,2,77913,39144818,Cal.
1268,13247,GA,Rockdale County,1,12943,10214860,GA
1269,27075,MN,Lake County,6,946,5489594,MN
1270,29051,MO,Cole County,3,7821,6083672,MO
1271,49023,UT,Juab County,2,1157,2763885,UT
1272,28057,MS,Itawamba County,7,4062,2992333,MS
1273,21035,KY,Calloway County,7,7430,4425092,KY
1274,19107,IA,Keokuk County,8,1199,3046355,IA
1275,31131,NE,Otoe County,6,1489,1896190,NE
1276,12119,FL,Sumter County,4,12115,20271272,Fla.
1277,27167,MN,Wilkin County,6,553,5489594,MN
1278,41023,OR,Grant County,9,1132,4028977,OR
1279,37189,NC,Watauga County,6,11717,10042802,NC
1280,40119,OK,Payne County,4,18413,3911338,OK
1281,40095,OK,Marshall County,6,2499,3911338,OK
1282,18121,IN,Parke County,6,2497,6619680,IN
1283,4015,AZ,Mohave County,4,36665,6828065,AZ
1284,37051,NC,Cumberland County,2,59570,10042802,NC
1285,19167,IA,Sioux County,6,2374,3046355,IA
1286,20057,KS,Ford County,5,4453,2911641,KS
1287,47015,TN,Cannon County,1,2149,6600299,TN
1288,13299,GA,Ware County,4,8501,10214860,GA
1289,26071,MI,Iron County,7,1672,9922576,MI
1290,17095,IL,Knox County,4,8036,12859995,IL
1291,26089,MI,Leelanau County,9,1739,9922576,MI
1292,6009,CA,Calaveras County,6,5833,39144818,Cal.
1293,27027,MN,Clay County,3,7167,5489594,MN
1294,29165,MO,Platte County,1,5915,6083672,MO
1295,20099,KS,Labette County,7,4161,2911641,KS
1296,29113,MO,Lincoln County,1,6132,6083672,MO
1297,46102,SD,Oglala Lakota County,7,5854,1394928,
1298,33019,NH,Sullivan County,7,4016,1330608,NH
1299,47181,TN,Wayne County,8,3032,6600299,TN
1300,26097,MI,Mackinac County,7,1465,9922576,MI
1301,56033,WY,Sheridan County,7,2691,586107,WY
1302,17037,IL,DeKalb County,1,15566,12859995,IL
1303,29035,MO,Carter County,9,1298,6083672,MO
1304,5091,AR,Miller County,3,9504,2978204,AR
1305,28069,MS,Kemper County,9,2532,2992333,MS
1306,42019,PA,Butler County,1,13334,12802503,PA
1307,18081,IN,Johnson County,1,11300,6619680,IN
1308,29023,MO,Butler County,7,9237,6083672,MO
1309,34015,NJ,Gloucester County,1,22402,8958013,NJ
1310,51087,VA,Henrico County,1,29583,8382993,VA
1311,1047,AL,Dallas County,4,13987,4858979,AL
1312,36041,NY,Hamilton County,8,463,19795791,N.Y.
1313,5105,AR,Perry County,2,1689,2978204,AR
1314,19157,IA,Poweshiek County,7,1863,3046355,IA
1315,20041,KS,Dickinson County,7,2084,2911641,KS
1316,29225,MO,Webster County,2,6189,6083672,MO
1317,26011,MI,Arenac County,8,2456,9922576,MI
1318,46019,SD,Butte County,6,1399,1394928,
1319,13127,GA,Glynn County,3,15916,10214860,GA
1320,55057,WI,Juneau County,7,3561,5771337,WI
1321,18127,IN,Porter County,1,12749,6619680,IN
1322,20083,KS,Hodgeman County,9,183,2911641,KS
1323,55127,WI,Walworth County,4,11191,5771337,WI
1324,49055,UT,Wayne County,9,400,2763885,UT
1325,10001,DE,Kent County,3,23060,945934,Del.
1326,16007,ID,Bear Lake County,7,823,1654930,ID
1327,39117,OH,Morrow County,1,4214,11613423,OH
1328,36027,NY,Dutchess County,2,25588,19795791,N.Y.
1329,9007,CT,Middlesex County,1,12513,3590886,Ct.
1330,8095,CO,Phillips County,9,484,5456574,Colo.
1331,18007,IN,Benton County,3,980,6619680,IN
1332,9011,CT,New London County,2,23961,3590886,Ct.
1333,47019,TN,Carter County,3,11903,6600299,TN
1334,18117,IN,Orange County,6,3103,6619680,IN
1335,36035,NY,Fulton County,4,7878,19795791,N.Y.
1336,30105,MT,Valley County,7,928,1032949,MT
1337,48063,TX,Camp County,6,2456,27469114,ustx
1338,28141,MS,Tishomingo County,8,3362,2992333,MS
1339,20053,KS,Ellsworth County,7,545,2911641,KS
1340,2220,AK,Sitka Borough,7,690,738432,AK
1341,48419,TX,Shelby County,6,5345,27469114,ustx
1342,28065,MS,Jefferson Davis County,8,3034,2992333,MS
1343,48189,TX,Hale County,4,6809,27469114,ustx
1344,20177,KS,Shawnee County,3,18931,2911641,KS
1345,1027,AL,Clay County,9,2495,4858979,AL
1346,19181,IA,Warren County,2,3263,3046355,IA
1347,19051,IA,Davis County,9,1125,3046355,IA
1348,48363,TX,Palo Pinto County,6,4547,27469114,ustx
1349,13269,GA,Taylor County,8,2004,10214860,GA
1350,48017,TX,Bailey County,7,1165,27469114,ustx
1351,13057,GA,Cherokee County,1,17948,10214860,GA
1352,56011,WY,Crook County,9,613,586107,WY
1353,27059,MN,Isanti County,1,2955,5489594,MN
1354,46031,SD,Corson County,9,1614,1394928,
1355,28119,MS,Quitman County,6,2468,2992333,MS
1356,53031,WA,Jefferson County,6,3679,7170351,Wash.
1357,42109,PA,Snyder County,7,4775,12802503,PA
1358,29201,MO,Scott County,5,7004,6083672,MO
1359,13001,GA,Appling County,7,3542,10214860,GA
1360,32013,NV,Humboldt County,7,1982,2890845,NV
1361,42111,PA,Somerset County,4,9885,12802503,PA
1362,27113,MN,Pennington County,6,1365,5489594,MN
1363,28163,MS,Yazoo County,6,8053,2992333,MS
1364,45081,SC,Saluda County,2,3329,4896146,SC
1365,39027,OH,Clinton County,6,5426,11613423,OH
1366,29059,MO,Dallas County,2,3025,6083672,MO
1367,16015,ID,Boise County,2,965,1654930,ID
1368,6083,CA,Santa Barbara County,2,59468,39144818,Cal.
1369,21219,KY,Todd County,8,2457,4425092,KY
1370,48405,TX,San Augustine County,9,1933,27469114,ustx
1371,1017,AL,Chambers County,6,6656,4858979,AL
1372,56035,WY,Sublette County,9,646,586107,WY
1373,12003,FL,Baker County,1,4329,20271272,Fla.
1374,27041,MN,Douglas County,7,3172,5489594,MN
1375,13093,GA,Dooly County,6,3386,10214860,GA
1376,29013,MO,Bates County,1,2204,6083672,MO
1377,4027,AZ,Yuma County,3,37850,6828065,AZ
1378,29119,MO,McDonald County,2,4776,6083672,MO
1379,5073,AR,Lafayette County,8,1838,2978204,AR
1380,5031,AR,Craighead County,3,16548,2978204,AR
1381,47121,TN,Meigs County,8,2164,6600299,TN
1382,54019,WV,Fayette County,6,8365,1844128,WV
1383,24005,MD,Baltimore County,1,72978,6006401,Md.
1384,51101,VA,King William County,1,1248,8382993,VA
1385,48409,TX,San Patricio County,2,10570,27469114,ustx
1386,48073,TX,Cherokee County,6,9463,27469114,ustx
1387,5019,AR,Clark County,7,4406,2978204,AR
1388,49011,UT,Davis County,2,21271,2763885,UT
1389,53015,WA,Cowlitz County,3,16863,7170351,Wash.
1390,42021,PA,Cambria County,3,20033,12802503,PA
1391,51678,VA,Lexington city,6,965,8382993,VA
1392,55079,WI,Milwaukee County,1,183511,5771337,WI
1393,48315,TX,Marion County,8,2250,27469114,ustx
1394,42093,PA,Montour County,6,1966,12802503,PA
1395,17167,IL,Sangamon County,3,26767,12859995,IL
1396,51650,VA,Hampton city,1,21458,8382993,VA
1397,35035,NM,Otero County,4,12945,2085109,NM
1398,47155,TN,Sevier County,4,14386,6600299,TN
1399,17005,IL,Bond County,1,2031,12859995,IL
1400,29159,MO,Pettis County,4,6263,6083672,MO
1401,20013,KS,Brown County,6,1272,2911641,KS
1402,47089,TN,Jefferson County,3,8112,6600299,TN
1403,29083,MO,Henry County,6,4402,6083672,MO
1404,51105,VA,Lee County,8,6727,8382993,VA
1405,6065,CA,Riverside County,1,359774,39144818,Cal.
1406,18175,IN,Washington County,1,3898,6619680,IN
1407,36055,NY,Monroe County,1,106742,19795791,N.Y.
1408,19035,IA,Cherokee County,6,1213,3046355,IA
1409,48161,TX,Freestone County,7,3435,27469114,ustx
1410,45091,SC,York County,1,27264,4896146,SC
1411,40101,OK,Muskogee County,4,14106,3911338,OK
1412,46079,SD,Lake County,6,1049,1394928,
1413,49033,UT,Rich County,8,215,2763885,UT
1414,48139,TX,Ellis County,1,16121,27469114,ustx
1415,51049,VA,Cumberland County,1,1747,8382993,VA
1416,27071,MN,Koochiching County,7,1773,5489594,MN
1417,8067,CO,La Plata County,6,5861,5456574,Colo.
1418,2060,AK,Bristol Bay Borough,9,100,738432,AK
1419,48445,TX,Terry County,6,2532,27469114,ustx
1420,21201,KY,Robertson County,8,514,4425092,KY
1421,13025,GA,Brantley County,3,3795,10214860,GA
1422,16077,ID,Power County,3,1188,1654930,ID
1423,31137,NE,Phelps County,7,827,1896190,NE
1424,39155,OH,Trumbull County,2,34839,11613423,OH
1425,39165,OH,Warren County,1,11823,11613423,OH
1426,13241,GA,Rabun County,9,2794,10214860,GA
1427,40015,OK,Caddo County,6,5877,3911338,OK
1428,45041,SC,Florence County,3,24811,4896146,SC
1429,56003,WY,Big Horn County,9,1342,586107,WY
1430,51109,VA,Louisa County,1,4261,8382993,VA
1431,53065,WA,Stevens County,6,6284,7170351,Wash.
1432,26069,MI,Iosco County,7,4531,9922576,MI
1433,34033,NJ,Salem County,1,7868,8958013,NJ
1434,37091,NC,Hertford County,7,5612,10042802,NC
1435,6049,CA,Modoc County,6,1571,39144818,Cal.
1436,18085,IN,Kosciusko County,4,7985,6619680,IN
1437,31083,NE,Harlan County,9,414,1896190,NE
1438,13293,GA,Upson County,6,5124,10214860,GA
1439,51033,VA,Caroline County,1,2937,8382993,VA
1440,20033,KS,Comanche County,9,208,2911641,KS
1441,12125,FL,Union County,6,2512,20271272,Fla.
1442,37057,NC,Davidson County,4,25150,10042802,NC
1443,50015,VT,Lamoille County,8,2986,626042,VT
1444,30021,MT,Dawson County,7,989,1032949,MT
1445,13009,GA,Baldwin County,4,10273,10214860,GA
1446,6035,CA,Lassen County,6,4085,39144818,Cal.
1447,21127,KY,Lawrence County,6,4251,4425092,KY
1448,17003,IL,Alexander County,7,1857,12859995,IL
1449,13279,GA,Toombs County,7,6266,10214860,GA
1450,39169,OH,Wayne County,4,13372,11613423,OH
1451,53007,WA,Chelan County,3,8665,7170351,Wash.
1452,13097,GA,Douglas County,1,18191,10214860,GA
1453,21193,KY,Perry County,7,8254,4425092,KY
1454,6053,CA,Monterey County,2,53898,39144818,Cal.
1455,13223,GA,Paulding County,1,13373,10214860,GA
1456,55039,WI,Fond du Lac County,3,7631,5771337,WI
1457,55005,WI,Barron County,6,5041,5771337,WI
1458,19019,IA,Buchanan County,6,2084,3046355,IA
1459,48187,TX,Guadalupe County,1,15051,27469114,ustx
1460,23031,ME,York County,2,16132,1328361,ME
1461,23029,ME,Washington County,7,5615,1328361,ME
1462,37135,NC,Orange County,2,17049,10042802,NC
1463,42119,PA,Union County,4,4284,12802503,PA
1464,45059,SC,Laurens County,2,11753,4896146,SC
1465,28031,MS,Covington County,8,4531,2992333,MS
1466,2180,AK,Nome Census Area,7,2337,738432,AK
1467,47117,TN,Marshall County,6,4148,6600299,TN
1468,45047,SC,Greenwood County,4,14687,4896146,SC
1469,1041,AL,Crenshaw County,8,2822,4858979,AL
1470,40057,OK,Harmon County,9,679,3911338,OK
1471,38093,ND,Stutsman County,7,2184,756927,ND
1472,51153,VA,Prince William County,1,33308,8382993,VA
1473,28021,MS,Claiborne County,6,3060,2992333,MS
1474,39111,OH,Monroe County,8,2130,11613423,OH
1475,51011,VA,Appomattox County,3,2130,8382993,VA
1476,39109,OH,Miami County,2,9860,11613423,OH
1477,20183,KS,Smith County,9,507,2911641,KS
1478,51600,VA,Fairfax city,1,1611,8382993,VA
1479,20003,KS,Anderson County,6,992,2911641,KS
1480,21223,KY,Trimble County,1,1263,4425092,KY
1481,5101,AR,Newton County,9,1566,2978204,AR
1482,46065,SD,Hughes County,7,1430,1394928,
1483,20009,KS,Barton County,7,3621,2911641,KS
1484,56043,WY,Washakie County,7,1060,586107,WY
1485,49045,UT,Tooele County,2,5189,2763885,UT
1486,48157,TX,Fort Bend County,1,60925,27469114,ustx
1487,31029,NE,Chase County,9,359,1896190,NE
1488,48273,TX,Kleberg County,4,6871,27469114,ustx
1489,38077,ND,Richland County,6,1558,756927,ND
1490,53033,WA,King County,1,196841,7170351,Wash.
1491,28117,MS,Prentiss County,7,5868,2992333,MS
1492,55109,WI,St. Croix County,1,4917,5771337,WI
1493,13155,GA,Irwin County,7,1997,10214860,GA
1494,55095,WI,Polk County,6,4233,5771337,WI
1495,2130,AK,Ketchikan Gateway Borough,7,1245,738432,AK
1496,55009,WI,Brown County,2,24903,5771337,WI
1497,21139,KY,Livingston County,9,1329,4425092,KY
1498,20049,KS,Elk County,8,447,2911641,KS
1499,31183,NE,Wheeler County,9,88,1896190,NE
1500,45023,SC,Chester County,6,6328,4896146,SC
1501,51017,VA,Bath County,9,516,8382993,VA
1502,12131,FL,Walton County,6,8331,20271272,Fla.
1503,20131,KS,Nemaha County,8,928,2911641,KS
1504,37115,NC,Madison County,2,3786,10042802,NC
1505,39143,OH,Sandusky County,4,6750,11613423,OH
1506,18049,IN,Fulton County,7,2471,6619680,IN
1507,39123,OH,Ottawa County,2,4160,11613423,OH
1508,17195,IL,Whiteside County,4,6586,12859995,IL
1509,48337,TX,Montague County,6,3165,27469114,ustx
1510,26137,MI,Otsego County,7,3369,9922576,MI
1511,9005,CT,Litchfield County,4,12952,3590886,Ct.
1512,6057,CA,Nevada County,4,10662,39144818,Cal.
1513,48209,TX,Hays County,1,24332,27469114,ustx
1514,45037,SC,Edgefield County,2,4180,4896146,SC
1515,55137,WI,Waushara County,8,3263,5771337,WI
1516,31125,NE,Nance County,9,432,1896190,NE
1517,20007,KS,Barber County,9,559,2911641,KS
1518,42025,PA,Carbon County,2,8210,12802503,PA
1519,20071,KS,Greeley County,9,149,2911641,KS
1520,36051,NY,Livingston County,1,8072,19795791,N.Y.
1521,48483,TX,Wheeler County,9,736,27469114,ustx
1522,6021,CA,Glenn County,6,4632,39144818,Cal.
1523,39015,OH,Brown County,1,7196,11613423,OH
1524,42009,PA,Bedford County,6,6550,12802503,PA
1525,26081,MI,Kent County,2,76343,9922576,MI
1526,13207,GA,Monroe County,3,3197,10214860,GA
1527,20067,KS,Grant County,7,909,2911641,KS
1528,48407,TX,San Jacinto County,1,4876,27469114,ustx
1529,8075,CO,Logan County,7,3056,5456574,Colo.
1530,21003,KY,Allen County,6,3790,4425092,KY
1531,30043,MT,Jefferson County,9,1032,1032949,MT
1532,26041,MI,Delta County,5,5107,9922576,MI
1533,35028,NM,Los Alamos County,6,720,2085109,NM
1534,16053,ID,Jerome County,7,3644,1654930,ID
1535,28081,MS,Lee County,5,14332,2992333,MS
1536,21013,KY,Bell County,7,10096,4425092,KY
1537,29163,MO,Pike County,6,2907,6083672,MO
1538,29155,MO,Pemiscot County,7,5198,6083672,MO
1539,16081,ID,Teton County,9,1057,1654930,ID
1540,55063,WI,La Crosse County,3,14977,5771337,WI
1541,32015,NV,Lander County,7,674,2890845,NV
1542,56031,WY,Platte County,7,1031,586107,WY
1543,27083,MN,Lyon County,7,3167,5489594,MN
1544,21041,KY,Carroll County,6,2152,4425092,KY
1545,17171,IL,Scott County,9,575,12859995,IL
1546,46057,SD,Hamlin County,9,557,1394928,
1547,19145,IA,Page County,7,2046,3046355,IA
1548,13133,GA,Greene County,6,3067,10214860,GA
1549,29203,MO,Shannon County,9,2133,6083672,MO
1550,37109,NC,Lincoln County,4,10179,10042802,NC
1551,35007,NM,Colfax County,7,2525,2085109,NM
1552,46029,SD,Codington County,7,3264,1394928,
1553,50001,VT,Addison County,6,3318,626042,VT
1554,47149,TN,Rutherford County,1,31097,6600299,TN
1555,55081,WI,Monroe County,6,5384,5771337,WI
1556,53063,WA,Spokane County,2,64514,7170351,Wash.
1557,48179,TX,Gray County,6,4001,27469114,ustx
1558,26045,MI,Eaton County,2,12005,9922576,MI
1559,8109,CO,Saguache County,9,1757,5456574,Colo.
1560,29141,MO,Morgan County,8,3885,6083672,MO
1561,16087,ID,Washington County,6,1517,1654930,ID
1562,26113,MI,Missaukee County,9,2198,9922576,MI
1563,29209,MO,Stone County,8,3960,6083672,MO
1564,38073,ND,Ransom County,8,421,756927,ND
1565,42089,PA,Monroe County,4,19303,12802503,PA
1566,29217,MO,Vernon County,7,3498,6083672,MO
1567,55083,WI,Oconto County,2,3364,5771337,WI
1568,28045,MS,Hancock County,3,7976,2992333,MS
1569,13089,GA,DeKalb County,1,127476,10214860,GA
1570,13309,GA,Wheeler County,9,2111,10214860,GA
1571,21135,KY,Lewis County,8,3545,4425092,KY
