d3mIndex,FIPS,State,Area,RUCCode,POVALL_2016,shares border with
1313,5105,AR,Perry County,2,1689,7
1314,19157,IA,Poweshiek County,7,1863,2
1315,20041,KS,Dickinson County,7,2084,3
1316,29225,MO,Webster County,2,6189,7
1317,26011,MI,Arenac County,8,2456,2
1318,46019,SD,Butte County,6,1399,6
1319,13127,GA,Glynn County,3,15916,4
1320,55057,WI,Juneau County,7,3561,7
1321,18127,IN,Porter County,1,12749,1
1322,20083,KS,Hodgeman County,9,183,6
1323,55127,WI,Walworth County,4,11191,7
1324,49055,UT,Wayne County,9,400,3
1325,10001,DE,Kent County,3,23060,7
1326,16007,ID,Bear Lake County,7,823,3
1327,39117,OH,Morrow County,1,4214,
1328,36027,NY,Dutchess County,2,25588,7
1329,9007,CT,Middlesex County,1,12513,5
1330,8095,CO,Phillips County,9,484,5
1331,18007,IN,Benton County,3,980,4
1332,9011,CT,New London County,2,23961,6
1333,47019,TN,Carter County,3,11903,3
1334,18117,IN,Orange County,6,3103,5
1335,36035,NY,Fulton County,4,7878,10
1336,30105,MT,Valley County,7,928,6
1337,48063,TX,Camp County,6,2456,5
1338,28141,MS,Tishomingo County,8,3362,1
1339,20053,KS,Ellsworth County,7,545,6
1340,2220,AK,Sitka Borough,7,690,
1341,48419,TX,Shelby County,6,5345,6
1342,28065,MS,Jefferson Davis County,8,3034,2
1343,48189,TX,Hale County,4,6809,2
1344,20177,KS,Shawnee County,3,18931,6
1345,1027,AL,Clay County,9,2495,20
1346,19181,IA,Warren County,2,3263,4
1347,19051,IA,Davis County,9,1125,4
1348,48363,TX,Palo Pinto County,6,4547,7
1349,13269,GA,Taylor County,8,2004,6
1350,48017,TX,Bailey County,7,1165,6
1351,13057,GA,Cherokee County,1,17948,7
1352,56011,WY,Crook County,9,613,6
1353,27059,MN,Isanti County,1,2955,6
1354,46031,SD,Corson County,9,1614,6
1355,28119,MS,Quitman County,6,2468,4
1356,53031,WA,Jefferson County,6,3679,6
1357,42109,PA,Snyder County,7,4775,4
1358,29201,MO,Scott County,5,7004,7
1359,13001,GA,Appling County,7,3542,6
1360,32013,NV,Humboldt County,7,1982,4
1361,42111,PA,Somerset County,4,9885,10
1362,27113,MN,Pennington County,6,1365,3
1363,28163,MS,Yazoo County,6,8053,7
1364,45081,SC,Saluda County,2,3329,5
1365,39027,OH,Clinton County,6,5426,7
1366,29059,MO,Dallas County,2,3025,7
1367,16015,ID,Boise County,2,965,3
1368,6083,CA,Santa Barbara County,2,59468,3
1369,21219,KY,Todd County,8,2457,2
1370,48405,TX,San Augustine County,9,1933,2
1371,1017,AL,Chambers County,6,6656,4
1372,56035,WY,Sublette County,9,646,4
1373,12003,FL,Baker County,1,4329,6
1374,27041,MN,Douglas County,7,3172,4
1375,13093,GA,Dooly County,6,3386,6
1376,29013,MO,Bates County,1,2204,6
1377,4027,AZ,Yuma County,3,37850,8
1378,29119,MO,McDonald County,2,4776,5
1379,5073,AR,Lafayette County,8,1838,6
1380,5031,AR,Craighead County,3,16548,2
1381,47121,TN,Meigs County,8,2164,5
1382,54019,WV,Fayette County,6,8365,5
1383,24005,MD,Baltimore County,1,72978,7
1384,51101,VA,King William County,1,1248,4
1385,48409,TX,San Patricio County,2,10570,6
1386,48073,TX,Cherokee County,6,9463,7
1387,5019,AR,Clark County,7,4406,5
1388,49011,UT,Davis County,2,21271,4
1389,53015,WA,Cowlitz County,3,16863,5
1390,42021,PA,Cambria County,3,20033,6
1391,51678,VA,Lexington city,6,965,
1392,55079,WI,Milwaukee County,1,183511,6
1393,48315,TX,Marion County,8,2250,
1394,42093,PA,Montour County,6,1966,3
1395,17167,IL,Sangamon County,3,26767,4
1396,51650,VA,Hampton city,1,21458,
1397,35035,NM,Otero County,4,12945,3
1398,47155,TN,Sevier County,4,14386,6
1399,17005,IL,Bond County,1,2031,4
1400,29159,MO,Pettis County,4,6263,2
1401,20013,KS,Brown County,6,1272,7
1402,47089,TN,Jefferson County,3,8112,6
1403,29083,MO,Henry County,6,4402,1
1404,51105,VA,Lee County,8,6727,4
1405,6065,CA,Riverside County,1,359774,5
1406,18175,IN,Washington County,1,3898,16
1407,36055,NY,Monroe County,1,106742,2
1408,19035,IA,Cherokee County,6,1213,7
1409,48161,TX,Freestone County,7,3435,5
1410,45091,SC,York County,1,27264,5
1411,40101,OK,Muskogee County,4,14106,6
1412,46079,SD,Lake County,6,1049,6
1413,49033,UT,Rich County,8,215,7
1414,48139,TX,Ellis County,1,16121,7
1415,51049,VA,Cumberland County,1,1747,4
1416,27071,MN,Koochiching County,7,1773,3
1417,8067,CO,La Plata County,6,5861,6
1418,2060,AK,Bristol Bay Borough,9,100,
1419,48445,TX,Terry County,6,2532,5
1420,21201,KY,Robertson County,8,514,6
1421,13025,GA,Brantley County,3,3795,6
1422,16077,ID,Power County,3,1188,3
1423,31137,NE,Phelps County,7,827,6
1424,39155,OH,Trumbull County,2,34839,6
1425,39165,OH,Warren County,1,11823,4
1426,13241,GA,Rabun County,9,2794,6
1427,40015,OK,Caddo County,6,5877,6
1428,45041,SC,Florence County,3,24811,8
1429,56003,WY,Big Horn County,9,1342,4
1430,51109,VA,Louisa County,1,4261,6
1431,53065,WA,Stevens County,6,6284,6
1432,26069,MI,Iosco County,7,4531,2
1433,34033,NJ,Salem County,1,7868,3
1434,37091,NC,Hertford County,7,5612,5
1435,6049,CA,Modoc County,6,1571,6
1436,18085,IN,Kosciusko County,4,7985,3
1437,31083,NE,Harlan County,9,414,6
1438,13293,GA,Upson County,6,5124,7
1439,51033,VA,Caroline County,1,2937,7
1440,20033,KS,Comanche County,9,208,6
1441,12125,FL,Union County,6,2512,
1442,37057,NC,Davidson County,4,25150,6
1443,50015,VT,Lamoille County,8,2986,5
1444,30021,MT,Dawson County,7,989,2
1445,13009,GA,Baldwin County,4,10273,6
1446,6035,CA,Lassen County,6,4085,4
1447,21127,KY,Lawrence County,6,4251,6
1448,17003,IL,Alexander County,7,1857,6
1449,13279,GA,Toombs County,7,6266,7
1450,39169,OH,Wayne County,4,13372,3
1451,53007,WA,Chelan County,3,8665,6
1452,13097,GA,Douglas County,1,18191,4
1453,21193,KY,Perry County,7,8254,7
1454,6053,CA,Monterey County,2,53898,5
1455,13223,GA,Paulding County,1,13373,4
1456,55039,WI,Fond du Lac County,3,7631,6
1457,55005,WI,Barron County,6,5041,8
1458,19019,IA,Buchanan County,6,2084,6
1459,48187,TX,Guadalupe County,1,15051,5
1460,23031,ME,York County,2,16132,5
1461,23029,ME,Washington County,7,5615,16
1462,37135,NC,Orange County,2,17049,5
1463,42119,PA,Union County,4,4284,
1464,45059,SC,Laurens County,2,11753,8
1465,28031,MS,Covington County,8,4531,3
1466,2180,AK,Nome Census Area,7,2337,2
1467,47117,TN,Marshall County,6,4148,2
1468,45047,SC,Greenwood County,4,14687,7
1469,1041,AL,Crenshaw County,8,2822,2
1470,40057,OK,Harmon County,9,679,6
1471,38093,ND,Stutsman County,7,2184,7
1472,51153,VA,Prince William County,1,33308,7
1473,28021,MS,Claiborne County,6,3060,7
1474,39111,OH,Monroe County,8,2130,2
1475,51011,VA,Appomattox County,3,2130,6
1476,39109,OH,Miami County,2,9860,5
1477,20183,KS,Smith County,9,507,7
1478,51600,VA,Fairfax city,1,1611,
1479,20003,KS,Anderson County,6,992,6
1480,21223,KY,Trimble County,1,1263,5
1481,5101,AR,Newton County,9,1566,6
1482,46065,SD,Hughes County,7,1430,6
1483,20009,KS,Barton County,7,3621,7
1484,56043,WY,Washakie County,7,1060,6
1485,49045,UT,Tooele County,2,5189,8
1486,48157,TX,Fort Bend County,1,60925,5
1487,31029,NE,Chase County,9,359,5
1488,48273,TX,Kleberg County,4,6871,2
1489,38077,ND,Richland County,6,1558,6
1490,53033,WA,King County,1,196841,5
1491,28117,MS,Prentiss County,7,5868,2
1492,55109,WI,St. Croix County,1,4917,5
1493,13155,GA,Irwin County,7,1997,5
1494,55095,WI,Polk County,6,4233,3
1495,2130,AK,Ketchikan Gateway Borough,7,1245,
1496,55009,WI,Brown County,2,24903,7
1497,21139,KY,Livingston County,9,1329,2
1498,20049,KS,Elk County,8,447,6
1499,31183,NE,Wheeler County,9,88,
1500,45023,SC,Chester County,6,6328,6
1501,51017,VA,Bath County,9,516,6
1502,12131,FL,Walton County,6,8331,6
1503,20131,KS,Nemaha County,8,928,6
1504,37115,NC,Madison County,2,3786,5
1505,39143,OH,Sandusky County,4,6750,5
1506,18049,IN,Fulton County,7,2471,10
1507,39123,OH,Ottawa County,2,4160,5
1508,17195,IL,Whiteside County,4,6586,3
1509,48337,TX,Montague County,6,3165,6
1510,26137,MI,Otsego County,7,3369,7
1511,9005,CT,Litchfield County,4,12952,6
1512,6057,CA,Nevada County,4,10662,4
1513,48209,TX,Hays County,1,24332,5
1514,45037,SC,Edgefield County,2,4180,6
1515,55137,WI,Waushara County,8,3263,6
1516,31125,NE,Nance County,9,432,2
1517,20007,KS,Barber County,9,559,7
1518,42025,PA,Carbon County,2,8210,8
1519,20071,KS,Greeley County,9,149,6
1520,36051,NY,Livingston County,1,8072,2
1521,48483,TX,Wheeler County,9,736,
1522,6021,CA,Glenn County,6,4632,5
1523,39015,OH,Brown County,1,7196,7
1524,42009,PA,Bedford County,6,6550,6
1525,26081,MI,Kent County,2,76343,7
1526,13207,GA,Monroe County,3,3197,2
1527,20067,KS,Grant County,7,909,8
1528,48407,TX,San Jacinto County,1,4876,1
1529,8075,CO,Logan County,7,3056,4
1530,21003,KY,Allen County,6,3790,6
1531,30043,MT,Jefferson County,9,1032,6
1532,26041,MI,Delta County,5,5107,1
1533,35028,NM,Los Alamos County,6,720,1
1534,16053,ID,Jerome County,7,3644,1
1535,28081,MS,Lee County,5,14332,4
1536,21013,KY,Bell County,7,10096,7
1537,29163,MO,Pike County,6,2907,8
1538,29155,MO,Pemiscot County,7,5198,2
1539,16081,ID,Teton County,9,1057,8
1540,55063,WI,La Crosse County,3,14977,6
1541,32015,NV,Lander County,7,674,6
1542,56031,WY,Platte County,7,1031,5
1543,27083,MN,Lyon County,7,3167,7
1544,21041,KY,Carroll County,6,2152,24
1545,17171,IL,Scott County,9,575,7
1546,46057,SD,Hamlin County,9,557,5
1547,19145,IA,Page County,7,2046,6
1548,13133,GA,Greene County,6,3067,6
1549,29203,MO,Shannon County,9,2133,3
1550,37109,NC,Lincoln County,4,10179,6
1551,35007,NM,Colfax County,7,2525,5
1552,46029,SD,Codington County,7,3264,5
1553,50001,VT,Addison County,6,3318,7
1554,47149,TN,Rutherford County,1,31097,8
1555,55081,WI,Monroe County,6,5384,2
1556,53063,WA,Spokane County,2,64514,7
1557,48179,TX,Gray County,6,4001,8
1558,26045,MI,Eaton County,2,12005,2
1559,8109,CO,Saguache County,9,1757,4
1560,29141,MO,Morgan County,8,3885,5
1561,16087,ID,Washington County,6,1517,16
1562,26113,MI,Missaukee County,9,2198,3
1563,29209,MO,Stone County,8,3960,2
1564,38073,ND,Ransom County,8,421,6
1565,42089,PA,Monroe County,4,19303,2
1566,29217,MO,Vernon County,7,3498,8
1567,55083,WI,Oconto County,2,3364,7
1568,28045,MS,Hancock County,3,7976,4
1569,13089,GA,DeKalb County,1,127476,5
1570,13309,GA,Wheeler County,9,2111,
1571,21135,KY,Lewis County,8,3545,8
1572,46039,SD,Deuel County,9,411,7
1573,48211,TX,Hemphill County,9,406,4
1574,29215,MO,Texas County,9,7130,8
1575,5053,AR,Grant County,2,2062,8
1576,38099,ND,Walsh County,6,1176,7
1577,45073,SC,Oconee County,6,11021,10
1578,13081,GA,Crisp County,6,6751,6
1579,49025,UT,Kane County,6,745,6
1580,40027,OK,Cleveland County,1,33109,6
1581,36015,NY,Chemung County,3,12390,6
1582,27121,MN,Pope County,8,991,7
1583,16023,ID,Butte County,8,451,6
1584,46037,SD,Day County,9,759,7
1585,31005,NE,Arthur County,9,56,2
1586,50009,VT,Essex County,9,966,7
1587,16051,ID,Jefferson County,3,2875,6
1588,12077,FL,Liberty County,8,1468,1
1589,4001,AZ,Apache County,6,23966,9
1590,41047,OR,Marion County,2,44581,
1591,48271,TX,Kinney County,9,652,5
1592,22127,LA,Winn Parish,6,3080,6
1593,31011,NE,Boone County,9,525,5
1594,26121,MI,Muskegon County,3,31393,3
1595,46023,SD,Charles Mix County,9,1951,8
1596,30073,MT,Pondera County,7,1083,2
1597,30029,MT,Flathead County,5,11897,5
1598,29510,MO,St. Louis city,1,73250,1
1599,36079,NY,Putnam County,1,5844,7
1600,18013,IN,Brown County,1,1613,7
1601,48215,TX,Hidalgo County,2,262028,1
1602,12069,FL,Lake County,1,39212,6
1603,31177,NE,Washington County,2,1405,16
1604,47071,TN,Hardin County,6,5438,8
1605,48057,TX,Calhoun County,3,3420,2
1606,42073,PA,Lawrence County,4,11672,6
1607,22061,LA,Lincoln Parish,4,12959,5
1608,39133,OH,Portage County,2,20743,6
1609,30039,MT,Granite County,8,438,1
1610,53037,WA,Kittitas County,6,7724,6
1611,53005,WA,Benton County,3,20153,4
1612,27063,MN,Jackson County,7,858,4
1613,48181,TX,Grayson County,3,16550,7
1614,13145,GA,Harris County,2,2883,3
1615,20063,KS,Gove County,9,264,8
1616,24027,MD,Howard County,1,16536,6
1617,26099,MI,Macomb County,1,94224,5
1618,39029,OH,Columbiana County,4,17130,7
1619,1075,AL,Lamar County,9,2545,2
1620,20185,KS,Stafford County,9,547,8
1621,51177,VA,Spotsylvania County,1,9648,7
1622,20203,KS,Wichita County,9,244,3
1623,38031,ND,Foster County,9,287,4
1624,39147,OH,Seneca County,4,6782,6
1625,28047,MS,Harrison County,3,40472,3
1626,26119,MI,Montmorency County,9,1535,7
1627,39045,OH,Fairfield County,1,14445,5
1628,1079,AL,Lawrence County,3,5530,6
1629,29019,MO,Boone County,3,27774,5
1630,37187,NC,Washington County,7,3147,16
1631,5127,AR,Scott County,6,1991,7
1632,27095,MN,Mille Lacs County,6,3047,3
1633,18093,IN,Lawrence County,4,6139,6
1634,31157,NE,Scotts Bluff County,5,5645,5
1635,51025,VA,Brunswick County,6,3275,4
1636,29175,MO,Randolph County,6,3616,7
1637,39069,OH,Henry County,6,2258,1
1638,17091,IL,Kankakee County,3,14958,7
1639,49003,UT,Box Elder County,4,5008,6
1640,39087,OH,Lawrence County,2,10771,6
1641,30097,MT,Sweet Grass County,9,351,2
1642,26131,MI,Ontonagon County,9,925,6
1643,47053,TN,Gibson County,4,8157,1
1644,27145,MN,Stearns County,3,17429,4
1645,16069,ID,Nez Perce County,3,5861,7
1646,12029,FL,Dixie County,6,3697,4
1647,48171,TX,Gillespie County,7,2563,6
1648,20021,KS,Cherokee County,6,3148,7
1649,55123,WI,Vernon County,6,5019,8
1650,18179,IN,Wells County,2,2663,6
1651,5107,AR,Phillips County,7,6042,5
1652,31145,NE,Red Willow County,7,1100,3
1653,54063,WV,Monroe County,8,2295,2
1654,55087,WI,Outagamie County,3,14548,3
1655,1123,AL,Tallapoosa County,6,8111,7
1656,19133,IA,Monona County,6,1111,2
1657,41063,OR,Wallowa County,9,1000,1
1658,54075,WV,Pocahontas County,9,1495,6
1659,34037,NJ,Sussex County,1,8460,5
1660,30009,MT,Carbon County,3,1071,8
1661,21113,KY,Jessamine County,2,8014,5
1662,49007,UT,Carbon County,7,3013,8
1663,29135,MO,Moniteau County,3,1696,2
1664,39107,OH,Mercer County,7,3308,7
1665,54069,WV,Ohio County,3,6361,5
1666,21167,KY,Mercer County,6,3088,7
1667,1107,AL,Pickens County,8,4756,4
1668,51065,VA,Fluvanna County,3,1867,5
1669,8037,CO,Eagle County,5,4239,3
1670,13251,GA,Screven County,6,3744,6
1671,18123,IN,Perry County,6,2612,7
1672,39163,OH,Vinton County,9,2661,6
1673,6073,CA,San Diego County,1,400028,4
1674,19083,IA,Hardin County,6,1807,8
1675,31085,NE,Hayes County,9,150,2
1676,56041,WY,Uinta County,7,2183,4
1677,46059,SD,Hand County,9,295,6
1678,27163,MN,Washington County,1,11304,16
1679,48207,TX,Haskell County,6,1258,6
1680,26083,MI,Keweenaw County,9,269,5
1681,48129,TX,Donley County,8,593,6
1682,37025,NC,Cabarrus County,1,21980,5
1683,30013,MT,Cascade County,3,11333,5
1684,40049,OK,Garvin County,6,4791,6
1685,30031,MT,Gallatin County,5,11526,3
1686,35055,NM,Taos County,7,7354,5
1687,18161,IN,Union County,8,912,
1688,51700,VA,Newport News city,1,25395,
1689,37127,NC,Nash County,3,15151,7
1690,50021,VT,Rutland County,5,7591,4
1691,21197,KY,Powell County,6,3185,3
1692,37041,NC,Chowan County,7,2665,5
1693,48489,TX,Willacy County,6,7076,3
1694,27035,MN,Crow Wing County,5,6975,2
1695,41041,OR,Lincoln County,4,9289,6
1696,31167,NE,Stanton County,9,449,2
1697,55105,WI,Rock County,3,20393,7
1698,36007,NY,Broome County,2,30417,6
1699,28017,MS,Chickasaw County,7,3715,1
1700,36081,NY,Queens County,1,307866,
1701,40139,OK,Texas County,7,2861,8
1702,42115,PA,Susquehanna County,6,5117,6
1703,22113,LA,Vermilion Parish,4,11669,5
1704,20163,KS,Rooks County,9,592,6
1705,54095,WV,Tyler County,6,1431,2
1706,51149,VA,Prince George County,1,3176,8
1707,13033,GA,Burke County,2,5986,7
1708,16079,ID,Shoshone County,6,2319,4
1709,20133,KS,Neosho County,7,2552,7
1710,18027,IN,Daviess County,7,4609,
1711,13101,GA,Echols County,3,913,5
1712,31081,NE,Hamilton County,7,697,7
1713,8105,CO,Rio Grande County,7,1972,5
1714,5079,AR,Lincoln County,3,2726,6
1715,12017,FL,Citrus County,4,23472,4
1716,48387,TX,Red River County,6,2057,3
1717,41019,OR,Douglas County,4,16692,4
1718,22117,LA,Washington Parish,6,12371,6
1719,28115,MS,Pontotoc County,7,5725,7
1720,1005,AL,Barbour County,6,6787,6
1721,31129,NE,Nuckolls County,9,525,1
1722,16063,ID,Lincoln County,9,665,6
1723,46111,SD,Sanborn County,9,268,2
1724,12051,FL,Hendry County,4,9712,8
1725,37179,NC,Union County,1,20266,
1726,48039,TX,Brazoria County,1,34053,5
1727,20087,KS,Jefferson County,3,1765,6
1728,8051,CO,Gunnison County,7,2128,3
1729,12123,FL,Taylor County,6,4291,6
1730,47069,TN,Hardeman County,6,5443,8
1731,28137,MS,Tate County,1,4648,2
1732,8063,CO,Kit Carson County,7,1023,3
1733,18011,IN,Boone County,1,4481,5
1734,55133,WI,Waukesha County,1,20315,7
1735,8011,CO,Bent County,7,1358,5
1736,51800,VA,Suffolk city,1,10303,
1737,13191,GA,McIntosh County,3,2847,4
1738,36111,NY,Ulster County,3,23815,6
1739,41021,OR,Gilliam County,9,223,1
1740,39019,OH,Carroll County,2,3475,24
1741,45057,SC,Lancaster County,4,11381,7
1742,48279,TX,Lamb County,6,2803,6
1743,51540,VA,Charlottesville city,3,10235,
1744,55089,WI,Ozaukee County,1,4626,6
1745,22115,LA,Vernon Parish,4,7191,6
1746,42077,PA,Lehigh County,2,48796,6
1747,8021,CO,Conejos County,9,1836,6
1748,13065,GA,Clinch County,6,1752,6
1749,16001,ID,Ada County,2,46600,5
1750,24015,MD,Cecil County,1,10099,5
1751,18095,IN,Madison County,3,21548,5
1752,9015,CT,Windham County,4,13297,5
1753,36099,NY,Seneca County,6,4322,6
1754,20023,KS,Cheyenne County,9,292,2
1755,22049,LA,Jackson Parish,6,3122,2
1756,28109,MS,Pearl River County,6,10031,7
1757,54105,WV,Wirt County,3,1049,5
1758,1031,AL,Coffee County,6,7271,2
1759,39125,OH,Paulding County,6,2004,4
1760,18061,IN,Harrison County,1,3997,3
1761,28051,MS,Holmes County,6,7249,4
1762,48481,TX,Wharton County,4,7163,6
1763,20199,KS,Wallace County,9,179,6
1764,41009,OR,Columbia County,1,5537,7
1765,29125,MO,Maries County,8,1331,3
1766,48265,TX,Kerr County,4,7348,6
1767,29147,MO,Nodaway County,6,3251,2
1768,48037,TX,Bowie County,3,16884,6
1769,12097,FL,Osceola County,1,49326,28
1770,20201,KS,Washington County,9,588,16
1771,6003,CA,Alpine County,8,199,6
1772,20207,KS,Woodson County,9,571,6
1773,39173,OH,Wood County,2,14060,7
1774,24017,MD,Charles County,1,11536,8
1775,37153,NC,Richmond County,4,10900,6
1776,48069,TX,Castro County,6,1372,6
1777,22029,LA,Concordia Parish,7,5239,3
1778,6013,CA,Contra Costa County,1,97573,4
1779,17061,IL,Greene County,6,1928,6
1780,35001,NM,Bernalillo County,2,107909,3
1781,23009,ME,Hancock County,6,5877,4
1782,23023,ME,Sagadahoc County,2,3245,4
1783,47147,TN,Robertson County,1,7061,6
1784,44005,RI,Newport County,1,7120,4
1785,17051,IL,Fayette County,6,3013,5
1786,29073,MO,Gasconade County,6,1758,8
1787,28143,MS,Tunica County,1,3164,3
1788,13039,GA,Camden County,4,7573,5
1789,21015,KY,Boone County,1,9662,5
1790,20105,KS,Lincoln County,9,373,6
1791,12113,FL,Santa Rosa County,2,17308,3
1792,42107,PA,Schuylkill County,4,17479,8
1793,42067,PA,Juniata County,6,2490,7
1794,17009,IL,Brown County,7,774,7
1795,39081,OH,Jefferson County,3,10469,6
1796,18071,IN,Jackson County,4,5677,4
1797,19087,IA,Henry County,7,2279,1
1798,48261,TX,Kenedy County,9,65,4
1799,17197,IL,Will County,1,48627,2
1800,45025,SC,Chesterfield County,6,9310,8
1801,5061,AR,Howard County,7,2455,6
1802,48095,TX,Concho County,8,682,6
1803,17079,IL,Jasper County,7,1009,2
1804,12041,FL,Gilchrist County,3,2825,6
1805,35029,NM,Luna County,6,6601,4
1806,13017,GA,Ben Hill County,7,4467,5
1807,46135,SD,Yankton County,7,2428,6
1808,22005,LA,Ascension Parish,2,12864,6
1809,37081,NC,Guilford County,2,92205,6
1810,51023,VA,Botetourt County,2,2560,5
1811,18039,IN,Elkhart County,3,26390,6
1812,21105,KY,Hickman County,9,884,6
1813,39053,OH,Gallia County,6,5995,6
1814,42011,PA,Berks County,2,52766,6
1815,48399,TX,Runnels County,6,1766,6
1816,29169,MO,Pulaski County,5,6044,3
1817,51147,VA,Prince Edward County,6,4274,7
1818,30005,MT,Blaine County,9,1581,5
1819,54055,WV,Mercer County,5,11978,7
1820,48245,TX,Jefferson County,2,47920,6
1821,22011,LA,Beauregard Parish,6,5243,5
1822,13169,GA,Jones County,3,3482,5
1823,29167,MO,Polk County,2,5004,3
1824,25025,MA,Suffolk County,1,143799,1
1825,51083,VA,Halifax County,6,6380,7
1826,55119,WI,Taylor County,6,2376,6
1827,47075,TN,Haywood County,6,3530,8
1828,29063,MO,DeKalb County,3,1429,5
1829,37155,NC,Robeson County,4,35835,8
1830,21235,KY,Whitley County,7,10026,6
1831,17143,IL,Peoria County,2,27254,1
1832,50025,VT,Windham County,6,5318,5
1833,12049,FL,Hardee County,6,6081,5
1834,6069,CA,San Benito County,1,6206,5
1835,30047,MT,Lake County,6,5645,6
1836,27067,MN,Kandiyohi County,4,4815,6
1837,48233,TX,Hutchinson County,6,2783,4
1838,51720,VA,Norton city,7,875,
1839,30001,MT,Beaverhead County,7,1291,7
1840,38097,ND,Traill County,8,642,5
1841,36089,NY,St. Lawrence County,5,17225,5
1842,48249,TX,Jim Wells County,4,9459,6
1843,19067,IA,Floyd County,7,2004,5
1844,21161,KY,Mason County,6,3256,5
1845,46069,SD,Hyde County,9,122,6
1846,8069,CO,Larimer County,2,37023,6
1847,45089,SC,Williamsburg County,6,9141,5
1848,19165,IA,Shelby County,6,1037,6
1849,4019,AZ,Pima County,2,180513,10
1850,29049,MO,Clinton County,1,2089,7
1851,51091,VA,Highland County,9,293,6
1852,5131,AR,Sebastian County,2,21232,6
1853,5003,AR,Ashley County,7,3636,2
1854,41005,OR,Clackamas County,1,35366,1
1855,29089,MO,Howard County,3,1484,6
1856,56019,WY,Johnson County,7,737,6
1857,36009,NY,Cattaraugus County,4,11014,6
1858,44009,RI,Washington County,1,11789,16
1859,39135,OH,Preble County,2,4494,5
1860,37141,NC,Pender County,2,8683,7
1861,40031,OK,Comanche County,3,18024,6
1862,39149,OH,Shelby County,4,4490,6
1863,48507,TX,Zavala County,7,3991,4
1864,47059,TN,Greene County,6,11398,6
1865,54089,WV,Summers County,7,2921,6
1866,37131,NC,Northampton County,9,4319,5
1867,8111,CO,San Juan County,9,107,14
1868,18043,IN,Floyd County,1,7759,5
1869,2068,AK,Denali Borough,8,121,1
1870,29095,MO,Jackson County,1,105697,4
1871,46051,SD,Grant County,7,705,8
1872,48329,TX,Midland County,3,15599,2
1873,54061,WV,Monongalia County,3,18202,6
1874,13201,GA,Miller County,8,1340,7
1875,45031,SC,Darlington County,3,13878,5
1876,29107,MO,Lafayette County,1,4057,6
1877,48313,TX,Madison County,6,1993,5
1878,36101,NY,Steuben County,4,12546,8
1879,29075,MO,Gentry County,8,952,2
1880,55103,WI,Richland County,6,2296,6
1881,33009,NH,Grafton County,5,8463,9
1882,29027,MO,Callaway County,3,4754,7
1883,23001,ME,Androscoggin County,3,13210,5
1884,48101,TX,Cottle County,9,300,6
1885,38079,ND,Rolette County,9,3861,5
1886,48417,TX,Shackelford County,8,489,6
1887,40099,OK,Murray County,7,1816,4
1888,45027,SC,Clarendon County,6,8045,6
1889,46055,SD,Haakon County,8,209,5
1890,13049,GA,Charlton County,6,2725,5
1891,18133,IN,Putnam County,1,4080,7
1892,47177,TN,Warren County,6,7736,4
1893,42105,PA,Potter County,9,2335,7
1894,41049,OR,Morrow County,6,1668,
1895,4012,AZ,La Paz County,6,4976,7
1896,27051,MN,Grant County,9,700,8
1897,47157,TN,Shelby County,1,190199,6
1898,18105,IN,Monroe County,3,30977,2
1899,19047,IA,Crawford County,6,2345,2
1900,51175,VA,Southampton County,6,2544,9
1901,46091,SD,Marshall County,9,508,2
1902,48431,TX,Sterling County,8,169,6
1903,29117,MO,Livingston County,6,2350,2
1904,40047,OK,Garfield County,5,8920,6
1905,41013,OR,Crook County,6,3192,6
1906,54051,WV,Marshall County,3,5445,2
1907,5085,AR,Lonoke County,2,8881,2
1908,37161,NC,Rutherford County,4,12096,8
1909,47051,TN,Franklin County,6,6143,6
1910,39073,OH,Hocking County,6,4054,6
1911,27015,MN,Brown County,7,1993,7
1912,18003,IN,Allen County,2,54642,6
1913,19071,IA,Fremont County,8,790,8
1914,31161,NE,Sheridan County,9,831,5
1915,27157,MN,Wabasha County,3,1595,3
1916,36047,NY,Kings County,1,535092,5
1917,46075,SD,Jones County,9,120,5
1918,40061,OK,Haskell County,6,2673,6
1919,30015,MT,Chouteau County,8,895,2
1920,47101,TN,Lewis County,6,2163,8
1921,53055,WA,San Juan County,9,1599,14
1922,18021,IN,Clay County,3,3666,20
1923,29045,MO,Clark County,9,1020,5
1924,49021,UT,Iron County,4,9021,5
1925,20079,KS,Harvey County,2,3528,5
1926,28059,MS,Jackson County,3,24525,4
1927,31121,NE,Merrick County,7,797,2
1928,20047,KS,Edwards County,9,325,6
1929,13147,GA,Hart County,6,4286,1
1930,40117,OK,Pawnee County,2,2696,6
1931,40143,OK,Tulsa County,2,99417,6
1932,46121,SD,Todd County,9,4928,2
1933,37157,NC,Rockingham County,2,16352,5
1934,5123,AR,St. Francis County,6,6973,2
1935,18079,IN,Jennings County,6,3478,2
1936,53043,WA,Lincoln County,8,1279,6
1937,27005,MN,Becker County,6,4200,7
1938,46107,SD,Potter County,9,219,7
1939,1053,AL,Escambia County,6,8020,3
1940,54065,WV,Morgan County,3,2079,5
1941,37027,NC,Caldwell County,2,13697,6
1942,31009,NE,Blaine County,9,75,5
1943,30061,MT,Mineral County,8,737,5
1944,16085,ID,Valley County,8,998,6
1945,28013,MS,Calhoun County,7,3146,2
1946,21021,KY,Boyle County,7,4562,6
1947,23011,ME,Kennebec County,4,16479,6
1948,31105,NE,Kimball County,6,468,5
