d3mIndex,FIPS,State,Area,RUCCode,POVALL_2016,motto text,population
1567,55083,WI,Oconto County,2,3364,Forward,37318
1568,28045,MS,Hancock County,3,7976,Virtute et armis,54845
1569,13089,GA,DeKalb County,1,127476,"Wisdom, Justice, Moderation",713340
1570,13309,GA,Wheeler County,9,2111,"Wisdom, Justice, Moderation",1381
1571,21135,KY,Lewis County,8,3545,Deo gratiam habeamus,75081
1572,46039,SD,Deuel County,9,411,,4320
1573,48211,TX,Hemphill County,9,406,Friendship,4158
1574,29215,MO,Texas County,9,7130,Salus populi suprema lex esto,25636
1575,5053,AR,Grant County,2,2062,Regnat populus,7283
1576,38099,ND,Walsh County,6,1176,Serit ut alteri saeclo prosit,11104
1577,45073,SC,Oconee County,6,11021,Dum spiro spero,75045
1578,13081,GA,Crisp County,6,6751,"Wisdom, Justice, Moderation",23336
1579,49025,UT,Kane County,6,745,Industry,7260
1580,40027,OK,Cleveland County,1,33109,Labor omnia vincit,97047
1581,36015,NY,Chemung County,3,12390,Excelsior,88506
1582,27121,MN,Pope County,8,991,LՃtoile du Nord,62547
1583,16023,ID,Butte County,8,451,Esto perpetua,222090
1584,46037,SD,Day County,9,759,,5596
1585,31005,NE,Arthur County,9,56,Equality before the law,458
1586,50009,VT,Essex County,9,966,Stella quarta decima fulgeat,38762
1587,16051,ID,Jefferson County,3,2875,Esto perpetua,659479
1588,12077,FL,Liberty County,8,1468,In God We Trust,76907
1589,4001,AZ,Apache County,6,23966,Ditat Deus,71934
1590,41047,OR,Marion County,2,44581,Alis volat propriis,323614
1591,48271,TX,Kinney County,9,652,Friendship,3586
1592,22127,LA,Winn Parish,6,3080,,14813
1593,31011,NE,Boone County,9,525,Equality before the law,24224
1594,26121,MI,Muskegon County,3,31393,Si quaeris peninsulam amoenam circumspice,171008
1595,46023,SD,Charles Mix County,9,1951,,9241
1596,30073,MT,Pondera County,7,1083,Oro y Plata,6211
1597,30029,MT,Flathead County,5,11897,Oro y Plata,93068
1598,29510,MO,St. Louis city,1,73250,Salus populi suprema lex esto,318416
1599,36079,NY,Putnam County,1,5844,Excelsior,72577
1600,18013,IN,Brown County,1,1613,The Crossroads of America,37749
1601,48215,TX,Hidalgo County,2,262028,Friendship,4654
1602,12069,FL,Lake County,1,39212,In God We Trust,63860
1603,31177,NE,Washington County,2,1405,Equality before the law,32190
1604,47071,TN,Hardin County,6,5438,Agriculture and Commerce,26034
1605,48057,TX,Calhoun County,3,3420,Friendship,135012
1606,42073,PA,Lawrence County,4,11672,"Virtue, liberty, and independence",33587
1607,22061,LA,Lincoln Parish,4,12959,,47414
1608,39133,OH,Portage County,2,20743,The Heart of It All,70380
1609,30039,MT,Granite County,8,438,Oro y Plata,3138
1610,53037,WA,Kittitas County,6,7724,bye and bye,41765
1611,53005,WA,Benton County,3,20153,bye and bye,86591
1612,27063,MN,Jackson County,7,858,LՃtoile du Nord,208545
1613,48181,TX,Grayson County,3,16550,Friendship,122353
1614,13145,GA,Harris County,2,2883,"Wisdom, Justice, Moderation",4336853
1615,20063,KS,Gove County,9,264,Ad astra per aspera,2769
1616,24027,MD,Howard County,1,16536,"Fatti maschii, parole femine",304580
1617,26099,MI,Macomb County,1,94224,Si quaeris peninsulam amoenam circumspice,854769
1618,39029,OH,Columbiana County,4,17130,The Heart of It All,105893
1619,1075,AL,Lamar County,9,2545,Audemus iura nostra defendere,49426
1620,20185,KS,Stafford County,9,547,Ad astra per aspera,136788
1621,51177,VA,Spotsylvania County,1,9648,Sic semper tyrannis,127348
1622,20203,KS,Wichita County,9,244,Ad astra per aspera,132047
1623,38031,ND,Foster County,9,287,Serit ut alteri saeclo prosit,3366
1624,39147,OH,Seneca County,4,6782,The Heart of It All,55914
1625,28047,MS,Harrison County,3,40472,Virtute et armis,196500
1626,26119,MI,Montmorency County,9,1535,Si quaeris peninsulam amoenam circumspice,9350
1627,39045,OH,Fairfield County,1,14445,The Heart of It All,939904
1628,1079,AL,Lawrence County,3,5530,Audemus iura nostra defendere,33587
1629,29019,MO,Boone County,3,27774,Salus populi suprema lex esto,24224
1630,37187,NC,Washington County,7,3147,Esse quam videri,32190
1631,5127,AR,Scott County,6,1991,Regnat populus,22015
1632,27095,MN,Mille Lacs County,6,3047,LՃtoile du Nord,25833
1633,18093,IN,Lawrence County,4,6139,The Crossroads of America,33587
1634,31157,NE,Scotts Bluff County,5,5645,Equality before the law,36848
1635,51025,VA,Brunswick County,6,3275,Sic semper tyrannis,115301
1636,29175,MO,Randolph County,6,3616,Salus populi suprema lex esto,29415
1637,39069,OH,Henry County,6,2258,The Heart of It All,49044
1638,17091,IL,Kankakee County,3,14958,"State sovereignty, national union",112120
1639,49003,UT,Box Elder County,4,5008,Industry,50794
1640,39087,OH,Lawrence County,2,10771,The Heart of It All,33587
1641,30097,MT,Sweet Grass County,9,351,Oro y Plata,3669
1642,26131,MI,Ontonagon County,9,925,Si quaeris peninsulam amoenam circumspice,6322
1643,47053,TN,Gibson County,4,8157,Agriculture and Commerce,33612
1644,27145,MN,Stearns County,3,17429,LՃtoile du Nord,152092
1645,16069,ID,Nez Perce County,3,5861,Esto perpetua,39915
1646,12029,FL,Dixie County,6,3697,In God We Trust,15940
1647,48171,TX,Gillespie County,7,2563,Friendship,25357
1648,20021,KS,Cherokee County,6,3148,Ad astra per aspera,27218
1649,55123,WI,Vernon County,6,5019,Forward,30329
1650,18179,IN,Wells County,2,2663,The Crossroads of America,27814
1651,5107,AR,Phillips County,7,6042,Regnat populus,4179
1652,31145,NE,Red Willow County,7,1100,Equality before the law,11006
1653,54063,WV,Monroe County,8,2295,Montani semper liberi,76351
1654,55087,WI,Outagamie County,3,14548,Forward,180345
1655,1123,AL,Tallapoosa County,6,8111,Audemus iura nostra defendere,41203
1656,19133,IA,Monona County,6,1111,Our liberties we prize and our rights we will maintain,9121
1657,41063,OR,Wallowa County,9,1000,Alis volat propriis,6814
1658,54075,WV,Pocahontas County,9,1495,Montani semper liberi,8669
1659,34037,NJ,Sussex County,1,8460,Liberty and prosperity,206649
1660,30009,MT,Carbon County,3,1071,Oro y Plata,15748
1661,21113,KY,Jessamine County,2,8014,Deo gratiam habeamus,50173
1662,49007,UT,Carbon County,7,3013,Industry,15748
1663,29135,MO,Moniteau County,3,1696,Salus populi suprema lex esto,15748
1664,39107,OH,Mercer County,7,3308,The Heart of It All,61984
1665,54069,WV,Ohio County,3,6361,Montani semper liberi,43727
1666,21167,KY,Mercer County,6,3088,Deo gratiam habeamus,61984
1667,1107,AL,Pickens County,8,4756,Audemus iura nostra defendere,119829
1668,51065,VA,Fluvanna County,3,1867,Sic semper tyrannis,25977
1669,8037,CO,Eagle County,5,4239,Nil sine numine,52460
1670,13251,GA,Screven County,6,3744,"Wisdom, Justice, Moderation",14240
1671,18123,IN,Perry County,6,2612,The Crossroads of America,28010
1672,39163,OH,Vinton County,9,2661,The Heart of It All,13276
1673,6073,CA,San Diego County,1,400028,Eureka,3211252
1674,19083,IA,Hardin County,6,1807,Our liberties we prize and our rights we will maintain,26034
1675,31085,NE,Hayes County,9,150,Equality before the law,976
1676,56041,WY,Uinta County,7,2183,Equal Rights,21066
1677,46059,SD,Hand County,9,295,,3391
1678,27163,MN,Washington County,1,11304,LՃtoile du Nord,32190
1679,48207,TX,Haskell County,6,1258,Friendship,13052
1680,26083,MI,Keweenaw County,9,269,Si quaeris peninsulam amoenam circumspice,2191
1681,48129,TX,Donley County,8,593,Friendship,3522
1682,37025,NC,Cabarrus County,1,21980,Esse quam videri,187226
1683,30013,MT,Cascade County,3,11333,Oro y Plata,82384
1684,40049,OK,Garvin County,6,4791,Labor omnia vincit,27334
1685,30031,MT,Gallatin County,5,11526,Oro y Plata,94720
1686,35055,NM,Taos County,7,7354,Crescit eundo,33035
1687,18161,IN,Union County,8,912,The Crossroads of America,25652
1688,51700,VA,Newport News city,1,25395,Sic semper tyrannis,
1689,37127,NC,Nash County,3,15151,Esse quam videri,95093
1690,50021,VT,Rutland County,5,7591,Stella quarta decima fulgeat,60622
1691,21197,KY,Powell County,6,3185,Deo gratiam habeamus,6993
1692,37041,NC,Chowan County,7,2665,Esse quam videri,14726
1693,48489,TX,Willacy County,6,7076,Friendship,21921
1694,27035,MN,Crow Wing County,5,6975,LՃtoile du Nord,63208
1695,41041,OR,Lincoln County,4,9289,Alis volat propriis,5245
1696,31167,NE,Stanton County,9,449,Equality before the law,6133
1697,55105,WI,Rock County,3,20393,Forward,160739
1698,36007,NY,Broome County,2,30417,Excelsior,197534
1699,28017,MS,Chickasaw County,7,3715,Virtute et armis,17311
1700,36081,NY,Queens County,1,307866,Excelsior,
1701,40139,OK,Texas County,7,2861,Labor omnia vincit,25636
1702,42115,PA,Susquehanna County,6,5117,"Virtue, liberty, and independence",42286
1703,22113,LA,Vermilion Parish,4,11669,,59253
1704,20163,KS,Rooks County,9,592,Ad astra per aspera,5190
1705,54095,WV,Tyler County,6,1431,Montani semper liberi,21464
1706,51149,VA,Prince George County,1,3176,Sic semper tyrannis,37253
1707,13033,GA,Burke County,2,5986,"Wisdom, Justice, Moderation",89842
1708,16079,ID,Shoshone County,6,2319,Esto perpetua,12690
1709,20133,KS,Neosho County,7,2552,Ad astra per aspera,16430
1710,18027,IN,Daviess County,7,4609,The Crossroads of America,98218
1711,13101,GA,Echols County,3,913,"Wisdom, Justice, Moderation",4057
1712,31081,NE,Hamilton County,7,697,Equality before the law,4773
1713,8105,CO,Rio Grande County,7,1972,Nil sine numine,11803
1714,5079,AR,Lincoln County,3,2726,Regnat populus,5245
1715,12017,FL,Citrus County,4,23472,In God We Trust,139271
1716,48387,TX,Red River County,6,2057,Friendship,12470
1717,41019,OR,Douglas County,4,16692,Alis volat propriis,106940
1718,22117,LA,Washington Parish,6,12371,,46419
1719,28115,MS,Pontotoc County,7,5725,Virtute et armis,37992
1720,1005,AL,Barbour County,6,6787,Audemus iura nostra defendere,16770
1721,31129,NE,Nuckolls County,9,525,Equality before the law,4413
1722,16063,ID,Lincoln County,9,665,Esto perpetua,5245
1723,46111,SD,Sanborn County,9,268,,2324
1724,12051,FL,Hendry County,4,9712,In God We Trust,37471
1725,37179,NC,Union County,1,20266,Esse quam videri,25652
1726,48039,TX,Brazoria County,1,34053,Friendship,330242
1727,20087,KS,Jefferson County,3,1765,Ad astra per aspera,659479
1728,8051,CO,Gunnison County,7,2128,Nil sine numine,15507
1729,12123,FL,Taylor County,6,4291,In God We Trust,20610
1730,47069,TN,Hardeman County,6,5443,Agriculture and Commerce,26306
1731,28137,MS,Tate County,1,4648,Virtute et armis,28373
1732,8063,CO,Kit Carson County,7,1023,Nil sine numine,8037
1733,18011,IN,Boone County,1,4481,The Crossroads of America,24224
1734,55133,WI,Waukesha County,1,20315,Forward,393843
1735,8011,CO,Bent County,7,1358,Nil sine numine,5688
1736,51800,VA,Suffolk city,1,10303,Sic semper tyrannis,
1737,13191,GA,McIntosh County,3,2847,"Wisdom, Justice, Moderation",14007
1738,36111,NY,Ulster County,3,23815,Excelsior,180998
1739,41021,OR,Gilliam County,9,223,Alis volat propriis,1947
1740,39019,OH,Carroll County,2,3475,The Heart of It All,47499
1741,45057,SC,Lancaster County,4,11381,Dum spiro spero,529600
1742,48279,TX,Lamb County,6,2803,Friendship,13775
1743,51540,VA,Charlottesville city,3,10235,Sic semper tyrannis,
1744,55089,WI,Ozaukee County,1,4626,Forward,87054
1745,22115,LA,Vernon Parish,4,7191,,52606
1746,42077,PA,Lehigh County,2,48796,"Virtue, liberty, and independence",355092
1747,8021,CO,Conejos County,9,1836,Nil sine numine,8277
1748,13065,GA,Clinch County,6,1752,"Wisdom, Justice, Moderation",6795
1749,16001,ID,Ada County,2,46600,Esto perpetua,416464
1750,24015,MD,Cecil County,1,10099,"Fatti maschii, parole femine",101913
1751,18095,IN,Madison County,3,21548,The Crossroads of America,7712
1752,9015,CT,Windham County,4,13297,Qui transtulit sustinet,117604
1753,36099,NY,Seneca County,6,4322,Excelsior,55914
1754,20023,KS,Cheyenne County,9,292,Ad astra per aspera,10091
1755,22049,LA,Jackson Parish,6,3122,,16112
1756,28109,MS,Pearl River County,6,10031,Virtute et armis,55072
1757,54105,WV,Wirt County,3,1049,Montani semper liberi,5901
1758,1031,AL,Coffee County,6,7271,Audemus iura nostra defendere,50938
1759,39125,OH,Paulding County,6,2004,The Heart of It All,19254
1760,18061,IN,Harrison County,1,3997,The Crossroads of America,196500
1761,28051,MS,Holmes County,6,7249,Virtute et armis,19717
1762,48481,TX,Wharton County,4,7163,Friendship,41216
1763,20199,KS,Wallace County,9,179,Ad astra per aspera,1569
1764,41009,OR,Columbia County,1,5537,Alis volat propriis,49344
1765,29125,MO,Maries County,8,1331,Salus populi suprema lex esto,9018
1766,48265,TX,Kerr County,4,7348,Friendship,49953
1767,29147,MO,Nodaway County,6,3251,Salus populi suprema lex esto,23261
1768,48037,TX,Bowie County,3,16884,Friendship,93487
1769,12097,FL,Osceola County,1,49326,In God We Trust,298504
1770,20201,KS,Washington County,9,588,Ad astra per aspera,32190
1771,6003,CA,Alpine County,8,199,Eureka,1159
1772,20207,KS,Woodson County,9,571,Ad astra per aspera,3221
1773,39173,OH,Wood County,2,14060,The Heart of It All,86569
1774,24017,MD,Charles County,1,11536,"Fatti maschii, parole femine",152864
1775,37153,NC,Richmond County,4,10900,Esse quam videri,202003
1776,48069,TX,Castro County,6,1372,Friendship,8030
1777,22029,LA,Concordia Parish,7,5239,,20442
1778,6013,CA,Contra Costa County,1,97573,Eureka,1094205
1779,17061,IL,Greene County,6,1928,"State sovereignty, national union",68267
1780,35001,NM,Bernalillo County,2,107909,Crescit eundo,674221
1781,23009,ME,Hancock County,6,5877,Dirigo,54845
1782,23023,ME,Sagadahoc County,2,3245,Dirigo,35013
1783,47147,TN,Robertson County,1,7061,Agriculture and Commerce,16486
1784,44005,RI,Newport County,1,7120,Hope,145736
1785,17051,IL,Fayette County,6,3013,"State sovereignty, national union",45599
1786,29073,MO,Gasconade County,6,1758,Salus populi suprema lex esto,14901
1787,28143,MS,Tunica County,1,3164,Virtute et armis,10560
1788,13039,GA,Camden County,4,7573,"Wisdom, Justice, Moderation",43862
1789,21015,KY,Boone County,1,9662,Deo gratiam habeamus,24224
1790,20105,KS,Lincoln County,9,373,Ad astra per aspera,5245
1791,12113,FL,Santa Rosa County,2,17308,In God We Trust,161096
1792,42107,PA,Schuylkill County,4,17479,"Virtue, liberty, and independence",146920
1793,42067,PA,Juniata County,6,2490,"Virtue, liberty, and independence",24768
1794,17009,IL,Brown County,7,774,"State sovereignty, national union",37749
1795,39081,OH,Jefferson County,3,10469,The Heart of It All,659479
1796,18071,IN,Jackson County,4,5677,The Crossroads of America,208545
1797,19087,IA,Henry County,7,2279,Our liberties we prize and our rights we will maintain,49044
1798,48261,TX,Kenedy County,9,65,Friendship,412
1799,17197,IL,Will County,1,48627,"State sovereignty, national union",682829
1800,45025,SC,Chesterfield County,6,9310,Dum spiro spero,46197
1801,5061,AR,Howard County,7,2455,Regnat populus,304580
1802,48095,TX,Concho County,8,682,Friendship,4043
1803,17079,IL,Jasper County,7,1009,"State sovereignty, national union",35649
1804,12041,FL,Gilchrist County,3,2825,In God We Trust,16931
1805,35029,NM,Luna County,6,6601,Crescit eundo,24659
1806,13017,GA,Ben Hill County,7,4467,"Wisdom, Justice, Moderation",17515
1807,46135,SD,Yankton County,7,2428,,22696
1808,22005,LA,Ascension Parish,2,12864,,114393
1809,37081,NC,Guilford County,2,92205,Esse quam videri,506610
1810,51023,VA,Botetourt County,2,2560,Sic semper tyrannis,33002
1811,18039,IN,Elkhart County,3,26390,The Crossroads of America,200563
1812,21105,KY,Hickman County,9,884,Deo gratiam habeamus,24267
1813,39053,OH,Gallia County,6,5995,The Heart of It All,30621
1814,42011,PA,Berks County,2,52766,"Virtue, liberty, and independence",413521
1815,48399,TX,Runnels County,6,1766,Friendship,10309
1816,29169,MO,Pulaski County,5,6044,Salus populi suprema lex esto,391284
1817,51147,VA,Prince Edward County,6,4274,Sic semper tyrannis,22802
1818,30005,MT,Blaine County,9,1581,Oro y Plata,21329
1819,54055,WV,Mercer County,5,11978,Montani semper liberi,61984
1820,48245,TX,Jefferson County,2,47920,Friendship,659479
1821,22011,LA,Beauregard Parish,6,5243,,36167
1822,13169,GA,Jones County,3,3482,"Wisdom, Justice, Moderation",1001
1823,29167,MO,Polk County,2,5004,Salus populi suprema lex esto,31569
1824,25025,MA,Suffolk County,1,143799,Ense petit placidam sub libertate quietem,1499738
1825,51083,VA,Halifax County,6,6380,Sic semper tyrannis,35401
1826,55119,WI,Taylor County,6,2376,Forward,20610
1827,47075,TN,Haywood County,6,3530,Agriculture and Commerce,59183
1828,29063,MO,DeKalb County,3,1429,Salus populi suprema lex esto,713340
1829,37155,NC,Robeson County,4,35835,Esse quam videri,134841
1830,21235,KY,Whitley County,7,10026,Deo gratiam habeamus,35766
1831,17143,IL,Peoria County,2,27254,"State sovereignty, national union",188429
1832,50025,VT,Windham County,6,5318,Stella quarta decima fulgeat,117604
1833,12049,FL,Hardee County,6,6081,In God We Trust,27519
1834,6069,CA,San Benito County,1,6206,Eureka,57600
1835,30047,MT,Lake County,6,5645,Oro y Plata,63860
1836,27067,MN,Kandiyohi County,4,4815,LՃtoile du Nord,42410
1837,48233,TX,Hutchinson County,6,2783,Friendship,21819
1838,51720,VA,Norton city,7,875,Sic semper tyrannis,
1839,30001,MT,Beaverhead County,7,1291,Oro y Plata,9341
1840,38097,ND,Traill County,8,642,Serit ut alteri saeclo prosit,8245
1841,36089,NY,St. Lawrence County,5,17225,Excelsior,111963
1842,48249,TX,Jim Wells County,4,9459,Friendship,41680
1843,19067,IA,Floyd County,7,2004,Our liberties we prize and our rights we will maintain,38728
1844,21161,KY,Mason County,6,3256,Deo gratiam habeamus,27126
1845,46069,SD,Hyde County,9,122,,5721
1846,8069,CO,Larimer County,2,37023,Nil sine numine,315988
1847,45089,SC,Williamsburg County,6,9141,Dum spiro spero,33067
1848,19165,IA,Shelby County,6,1037,Our liberties we prize and our rights we will maintain,939465
1849,4019,AZ,Pima County,2,180513,Ditat Deus,996554
1850,29049,MO,Clinton County,1,2089,Salus populi suprema lex esto,81591
1851,51091,VA,Highland County,9,293,Sic semper tyrannis,43299
1852,5131,AR,Sebastian County,2,21232,Regnat populus,127342
1853,5003,AR,Ashley County,7,3636,Regnat populus,21283
1854,41005,OR,Clackamas County,1,35366,Alis volat propriis,388263
1855,29089,MO,Howard County,3,1484,Salus populi suprema lex esto,304580
1856,56019,WY,Johnson County,7,737,Equal Rights,8628
1857,36009,NY,Cattaraugus County,4,11014,Excelsior,78892
1858,44009,RI,Washington County,1,11789,Hope,32190
1859,39135,OH,Preble County,2,4494,The Heart of It All,41732
1860,37141,NC,Pender County,2,8683,Esse quam videri,55334
1861,40031,OK,Comanche County,3,18024,Labor omnia vincit,124937
1862,39149,OH,Shelby County,4,4490,The Heart of It All,939465
1863,48507,TX,Zavala County,7,3991,Friendship,12156
1864,47059,TN,Greene County,6,11398,Agriculture and Commerce,68267
1865,54089,WV,Summers County,7,2921,Montani semper liberi,13563
1866,37131,NC,Northampton County,9,4319,Esse quam videri,299791
1867,8111,CO,San Juan County,9,107,Nil sine numine,14973
1868,18043,IN,Floyd County,1,7759,The Crossroads of America,38728
1869,2068,AK,Denali Borough,8,121,North to the Future,1867
1870,29095,MO,Jackson County,1,105697,Salus populi suprema lex esto,208545
1871,46051,SD,Grant County,7,705,,7283
1872,48329,TX,Midland County,3,15599,Friendship,83919
1873,54061,WV,Monongalia County,3,18202,Montani semper liberi,102274
1874,13201,GA,Miller County,8,1340,"Wisdom, Justice, Moderation",25092
1875,45031,SC,Darlington County,3,13878,Dum spiro spero,67935
1876,29107,MO,Lafayette County,1,4057,Salus populi suprema lex esto,32943
1877,48313,TX,Madison County,6,1993,Friendship,7712
1878,36101,NY,Steuben County,4,12546,Excelsior,98650
1879,29075,MO,Gentry County,8,952,Salus populi suprema lex esto,6775
1880,55103,WI,Richland County,6,2296,Forward,399256
1881,33009,NH,Grafton County,5,8463,Live Free or Die,89629
1882,29027,MO,Callaway County,3,4754,Salus populi suprema lex esto,44359
1883,23001,ME,Androscoggin County,3,13210,Dirigo,107604
1884,48101,TX,Cottle County,9,300,Friendship,1452
1885,38079,ND,Rolette County,9,3861,Serit ut alteri saeclo prosit,14582
1886,48417,TX,Shackelford County,8,489,Friendship,3375
1887,40099,OK,Murray County,7,1816,Labor omnia vincit,13712
1888,45027,SC,Clarendon County,6,8045,Dum spiro spero,34355
1889,46055,SD,Haakon County,8,209,,1894
1890,13049,GA,Charlton County,6,2725,"Wisdom, Justice, Moderation",13255
1891,18133,IN,Putnam County,1,4080,The Crossroads of America,72577
1892,47177,TN,Warren County,6,7736,Agriculture and Commerce,65337
1893,42105,PA,Potter County,9,2335,"Virtue, liberty, and independence",17497
1894,41049,OR,Morrow County,6,1668,Alis volat propriis,11336
1895,4012,AZ,La Paz County,6,4976,Ditat Deus,20324
1896,27051,MN,Grant County,9,700,LՃtoile du Nord,7283
1897,47157,TN,Shelby County,1,190199,Agriculture and Commerce,939465
1898,18105,IN,Monroe County,3,30977,The Crossroads of America,76351
1899,19047,IA,Crawford County,6,2345,Our liberties we prize and our rights we will maintain,24543
1900,51175,VA,Southampton County,6,2544,Sic semper tyrannis,18128
1901,46091,SD,Marshall County,9,508,,94760
1902,48431,TX,Sterling County,8,169,Friendship,1219
1903,29117,MO,Livingston County,6,2350,Salus populi suprema lex esto,184443
1904,40047,OK,Garfield County,5,8920,Labor omnia vincit,5083
1905,41013,OR,Crook County,6,3192,Alis volat propriis,5240700
1906,54051,WV,Marshall County,3,5445,Montani semper liberi,94760
1907,5085,AR,Lonoke County,2,8881,Regnat populus,70753
1908,37161,NC,Rutherford County,4,12096,Esse quam videri,66956
1909,47051,TN,Franklin County,6,6143,Agriculture and Commerce,71221
1910,39073,OH,Hocking County,6,4054,The Heart of It All,28665
1911,27015,MN,Brown County,7,1993,LՃtoile du Nord,37749
1912,18003,IN,Allen County,2,54642,The Crossroads of America,363014
1913,19071,IA,Fremont County,8,790,Our liberties we prize and our rights we will maintain,40998
1914,31161,NE,Sheridan County,9,831,Equality before the law,29824
1915,27157,MN,Wabasha County,3,1595,LՃtoile du Nord,21443
1916,36047,NY,Kings County,1,535092,Excelsior,150960
1917,46075,SD,Jones County,9,120,,1001
1918,40061,OK,Haskell County,6,2673,Labor omnia vincit,13052
1919,30015,MT,Chouteau County,8,895,Oro y Plata,5849
1920,47101,TN,Lewis County,6,2163,Agriculture and Commerce,75081
1921,53055,WA,San Juan County,9,1599,bye and bye,14973
1922,18021,IN,Clay County,3,3666,The Crossroads of America,10584
1923,29045,MO,Clark County,9,1020,Salus populi suprema lex esto,2027868
1924,49021,UT,Iron County,4,9021,Industry,46780
1925,20079,KS,Harvey County,2,3528,Ad astra per aspera,34741
1926,28059,MS,Jackson County,3,24525,Virtute et armis,208545
1927,31121,NE,Merrick County,7,797,Equality before the law,7802
1928,20047,KS,Edwards County,9,325,Ad astra per aspera,1884
1929,13147,GA,Hart County,6,4286,"Wisdom, Justice, Moderation",18573
1930,40117,OK,Pawnee County,2,2696,Labor omnia vincit,2709
1931,40143,OK,Tulsa County,2,99417,Labor omnia vincit,622409
1932,46121,SD,Todd County,9,4928,,24382
1933,37157,NC,Rockingham County,2,16352,Esse quam videri,299134
1934,5123,AR,St. Francis County,6,6973,Regnat populus,27260
1935,18079,IN,Jennings County,6,3478,The Crossroads of America,28241
1936,53043,WA,Lincoln County,8,1279,bye and bye,5245
1937,27005,MN,Becker County,6,4200,LՃtoile du Nord,33231
1938,46107,SD,Potter County,9,219,,17497
1939,1053,AL,Escambia County,6,8020,Audemus iura nostra defendere,305817
1940,54065,WV,Morgan County,3,2079,Montani semper liberi,119787
1941,37027,NC,Caldwell County,2,13697,Esse quam videri,81990
1942,31009,NE,Blaine County,9,75,Equality before the law,21329
1943,30061,MT,Mineral County,8,737,Oro y Plata,4614
1944,16085,ID,Valley County,8,998,Esto perpetua,9606
1945,28013,MS,Calhoun County,7,3146,Virtute et armis,135012
1946,21021,KY,Boyle County,7,4562,Deo gratiam habeamus,29013
1947,23011,ME,Kennebec County,4,16479,Dirigo,121164
1948,31105,NE,Kimball County,6,468,Equality before the law,3702
1949,21107,KY,Hopkins County,4,8154,Deo gratiam habeamus,35565
1950,1067,AL,Henry County,3,3159,Audemus iura nostra defendere,49044
1951,38039,ND,Griggs County,9,213,Serit ut alteri saeclo prosit,2296
1952,48303,TX,Lubbock County,3,55089,Friendship,289324
1953,27143,MN,Sibley County,8,1328,LՃtoile du Nord,15072
1954,1083,AL,Limestone County,2,11511,Audemus iura nostra defendere,88845
1955,36109,NY,Tompkins County,3,17022,Excelsior,103617
1956,46119,SD,Sully County,9,102,,1437
1957,45079,SC,Richland County,2,61910,Dum spiro spero,399256
1958,48423,TX,Smith County,3,34487,Friendship,216080
1959,51660,VA,Harrisonburg city,3,12919,Sic semper tyrannis,
1960,38041,ND,Hettinger County,9,256,Serit ut alteri saeclo prosit,
1961,38003,ND,Barnes County,6,1137,Serit ut alteri saeclo prosit,11190
1962,17041,IL,Douglas County,6,1895,"State sovereignty, national union",106940
1963,22051,LA,Jefferson Parish,1,69610,,434767
1964,1057,AL,Fayette County,6,3307,Audemus iura nostra defendere,45599
1965,13121,GA,Fulton County,1,159400,"Wisdom, Justice, Moderation",984293
1966,17153,IL,Pulaski County,9,1183,"State sovereignty, national union",391284
1967,42057,PA,Fulton County,8,1527,"Virtue, liberty, and independence",984293
1968,13227,GA,Pickens County,1,3447,"Wisdom, Justice, Moderation",119829
1969,26067,MI,Ionia County,2,8487,Si quaeris peninsulam amoenam circumspice,64073
1970,26153,MI,Schoolcraft County,7,1162,Si quaeris peninsulam amoenam circumspice,8247
1971,48283,TX,La Salle County,6,1561,Friendship,112183
1972,47109,TN,McNairy County,6,5623,Agriculture and Commerce,26140
1973,27149,MN,Stevens County,7,969,LՃtoile du Nord,43430
1974,26159,MI,Van Buren County,2,12282,Si quaeris peninsulam amoenam circumspice,16932
1975,6111,CA,Ventura County,2,81792,Eureka,839620
1976,16013,ID,Blaine County,7,2128,Esto perpetua,21329
1977,13281,GA,Towns County,9,1558,"Wisdom, Justice, Moderation",10771
1978,56001,WY,Albany County,4,6229,Equal Rights,37422
1979,26015,MI,Barry County,2,4932,Si quaeris peninsulam amoenam circumspice,35572
1980,22063,LA,Livingston Parish,2,17396,,134053
1981,37043,NC,Clay County,9,1647,Esse quam videri,10584
1982,18059,IN,Hancock County,1,5327,The Crossroads of America,54845
1983,18089,IN,Lake County,1,79529,The Crossroads of America,63860
1984,49015,UT,Emery County,9,1263,Industry,10749
1985,32019,NV,Lyon County,6,6289,All For Our Country,51557
1986,1117,AL,Shelby County,1,16406,Audemus iura nostra defendere,939465
1987,17085,IL,Jo Daviess County,6,2145,"State sovereignty, national union",22407
1988,23021,ME,Piscataquis County,8,3136,Dirigo,17124
1989,45001,SC,Abbeville County,6,3689,Dum spiro spero,25007
1990,17007,IL,Boone County,2,5071,"State sovereignty, national union",24224
1991,26157,MI,Tuscola County,6,7148,Si quaeris peninsulam amoenam circumspice,54263
1992,27159,MN,Wadena County,7,1952,LՃtoile du Nord,13804
1993,48443,TX,Terrell County,9,152,Friendship,903
1994,48475,TX,Ward County,6,1464,Friendship,67990
1995,39011,OH,Auglaize County,4,4165,The Heart of It All,45920
1996,54073,WV,Pleasants County,3,987,Montani semper liberi,7577
1997,20115,KS,Marion County,6,1271,Ad astra per aspera,323614
1998,51595,VA,Emporia city,6,1172,Sic semper tyrannis,5588
1999,26049,MI,Genesee County,2,81761,Si quaeris peninsulam amoenam circumspice,415376
