d3mIndex,Month,State,County,Rate,State - area,County - area,State - coordinate location
729,October,Kansas,Morton County,3.4,213100,851,Point(-98.0 38.5)
730,November,Virginia,Dinwiddie County,4.5,110862,27549,Point(-79.0 37.5)
731,June,Minnesota,Pope County,3.2,225163,1213,Point(-94.0 46.0)
732,September,Illinois,Fulton County,7.1,149998,2584,Point(-89.0 40.0)
733,July,Minnesota,Rock County,2.1,225163,2463,Point(-94.0 46.0)
734,July,Wisconsin,Green Lake County,4.7,169640,8430,Point(-89.5 44.5)
735,October,Ohio,Lucas County,4.7,116096,2771,Point(-82.5 40.5)
736,April,North Carolina,Richmond County,7.3,139390,3743,Point(-80.0 35.5)
737,February,Wyoming,Lincoln County,5.9,253348,1968,Point(-107.5 43.0)
738,April,Kansas,Leavenworth County,4.6,213100,1783,Point(-98.0 38.5)
739,August,Ohio,Champaign County,3.9,116096,2536,Point(-82.5 40.5)
740,December,North Carolina,Robeson County,7.5,139390,1646,Point(-80.0 35.5)
741,July,North Carolina,Washington County,8.8,139390,3548,Point(-80.0 35.5)
742,March,Texas,Gonzales County,3.3,696241,1149,Point(-100.0 31.0)
743,July,Minnesota,Becker County,4,225163,7257,Point(-94.0 46.0)
744,March,South Carolina,Chester County,8.5,82931,12786,Point(-81.0 34.0)
745,April,Wisconsin,Columbia County,4.4,169640,2015,Point(-89.5 44.5)
746,April,Virginia,Grayson County,5.7,110862,3132,Point(-79.0 37.5)
747,May,Texas,Milam County,5,696241,3692,Point(-100.0 31.0)
748,July,Nebraska,Adams County,3.6,200520,1303,Point(-100.0 41.5)
749,November,Kentucky,Laurel County,6.3,104659,1140,Point(-85.0 37.5)
750,September,Illinois,Jackson County,5.2,149998,3178,Point(-89.0 40.0)
751,May,Montana,Custer County,2.9,381154,1406,Point(-110.0 47.0)
752,August,Kansas,Chase County,3.3,213100,9679,Point(-98.0 38.5)
753,September,Utah,Wasatch County,3,219653,1323,Point(-111.5 39.5)
754,March,Washington,Pend Oreille County,10.5,177,702,Point(-77.036666666 38.895)
755,April,Illinois,Boone County,5.4,149998,3688,Point(-89.0 40.0)
756,December,Illinois,Piatt County,5.6,149998,1963,Point(-89.0 40.0)
757,October,Ohio,Erie County,4.7,116096,1578,Point(-82.5 40.5)
758,August,North Carolina,Nash County,7.7,139390,1860,Point(-80.0 35.5)
759,July,Pennsylvania,Monroe County,6.7,119283,1453,Point(-77.5 41.0)
760,March,Iowa,Louisa County,4.3,145746,1481,Point(-93.0 42.0)
761,July,Tennessee,Dekalb County,7.7,109247,3377,Point(-86.0 36.0)
762,February,South Dakota,Hyde County,2.9,199729,5941,Point(-100.0 44.5)
763,December,South Carolina,Lexington County,4.3,82931,1949,Point(-81.0 34.0)
764,June,West Virginia,Raleigh County,7.7,62755,1861,Point(-80.5 39.0)
765,October,Alabama,Lawrence County,7.4,135765,2463,Point(-86.7 32.7)
766,December,Tennessee,McNairy County,7.9,109247,2958,Point(-86.0 36.0)
767,June,Mississippi,Neshoba County,6.7,125443,1863,Point(-90.0 33.0)
768,August,California,Santa Clara County,4.1,423970,18044,Point(-120.0 37.0)
769,August,Ohio,Ashland County,4.4,116096,1108,Point(-82.5 40.5)
770,June,Minnesota,Swift County,7.9,225163,1270,Point(-94.0 46.0)
771,October,Iowa,Calhoun County,3.5,145746,1838,Point(-93.0 42.0)
772,September,North Carolina,Robeson County,8,139390,4403,Point(-80.0 35.5)
773,August,Kentucky,Knox County,7.7,104659,1723,Point(-85.0 37.5)
774,October,Nebraska,Nemaha County,3,200520,6545,Point(-100.0 41.5)
775,December,Colorado,Park County,2.9,269837,8430,Point(-105.5 39.0)
776,November,Oklahoma,Logan County,3.3,181195,2584,Point(-98.0 35.5)
777,May,Virginia,York County,4.5,110862,4044,Point(-79.0 37.5)
778,August,Nebraska,Buffalo County,2.5,200520,13499,Point(-100.0 41.5)
779,September,Colorado,La Plata County,2.7,269837,571,Point(-105.5 39.0)
780,July,New York,Rensselaer County,4.9,1214,23891,Point(-73.94 40.67)
781,November,Maryland,Queen Annes County,4.3,32133,5577,Point(-76.7 39.0)
782,July,Virginia,Alexandria City,3.3,110862,1864,Point(-79.0 37.5)
783,August,Montana,Sheridan County,2.1,381154,4604,Point(-110.0 47.0)
784,January,Virginia,Newport News City,6.4,110862,1171,Point(-79.0 37.5)
785,December,Virginia,Washington County,4.2,110862,1765,Point(-79.0 37.5)
786,March,Illinois,Champaign County,4.8,149998,1303,Point(-89.0 40.0)
787,April,North Carolina,Dare County,6.6,139390,9679,Point(-80.0 35.5)
788,August,Montana,Phillips County,3.5,381154,714,Point(-110.0 47.0)
789,June,Texas,Clay County,4.9,696241,556,Point(-100.0 31.0)
790,June,Arizona,Maricopa County,5.4,295234,824,Point(-111.656944 34.286667)
791,January,California,Madera County,12.3,423970,851,Point(-120.0 37.0)
792,September,Minnesota,Murray County,2.7,225163,1326,Point(-94.0 46.0)
793,December,Texas,Harris County,4.6,696241,1819,Point(-100.0 31.0)
794,October,Virginia,Smyth County,5.9,110862,3097,Point(-79.0 37.5)
795,September,Illinois,Kankakee County,6.3,149998,1058,Point(-89.0 40.0)
796,December,Nebraska,Boone County,2.6,200520,650,Point(-100.0 41.5)
797,April,New York,Monroe County,5.2,1214,1872,Point(-73.94 40.67)
798,December,Missouri,Wright County,5.3,181533,2005,Point(-92.5 38.5)
799,December,Missouri,Webster County,4.2,181533,2282,Point(-92.5 38.5)
800,July,Kentucky,Rockcastle County,7,104659,2415,Point(-85.0 37.5)
801,October,New York,Richmond County,5.1,1214,11731,Point(-73.94 40.67)
802,January,South Carolina,Pickens County,6.5,82931,14129,Point(-81.0 34.0)
803,April,Oklahoma,Okmulgee County,6,181195,1400,Point(-98.0 35.5)
804,March,Virginia,Sussex County,7.5,110862,610,Point(-79.0 37.5)
805,July,Indiana,Rush County,4.1,94321,2030,Point(-86.216666666 39.933333333)
806,April,Virginia,Roanoke County,3.8,110862,1253,Point(-79.0 37.5)
807,March,Minnesota,Freeborn County,4.6,225163,1626,Point(-94.0 46.0)
808,September,North Carolina,Craven County,5.7,139390,1234,Point(-80.0 35.5)
809,May,Texas,Fort Bend County,4.1,696241,2334,Point(-100.0 31.0)
810,April,Texas,Lamar County,4.5,696241,1616,Point(-100.0 31.0)
811,June,Nebraska,Grant County,2.4,200520,11731,Point(-100.0 41.5)
812,July,New Mexico,McKinley County,11.1,315194,7211,Point(-106.0 34.0)
813,December,Louisiana,Caldwell Parish,6.3,135382,2259,Point(-92.0 31.0)
814,April,Louisiana,Saint Mary Parish,7,135382,34886,Point(-92.0 31.0)
815,August,Indiana,Shelby County,4,94321,2536,Point(-86.216666666 39.933333333)
816,June,Tennessee,Roane County,7.1,109247,1115,Point(-86.0 36.0)
817,September,Texas,San Jacinto County,6.1,696241,864,Point(-100.0 31.0)
818,October,Kentucky,Daviess County,4.3,104659,21648,Point(-85.0 37.5)
819,February,Texas,Callahan County,4.2,696241,12341,Point(-100.0 31.0)
820,June,Mississippi,Greene County,8.4,125443,27549,Point(-90.0 33.0)
821,September,Arkansas,Grant County,4.3,137733,609,Point(-92.2 34.8)
822,August,South Dakota,Pennington County,2.8,199729,2455,Point(-100.0 44.5)
823,March,Texas,Kent County,2.2,696241,2385,Point(-100.0 31.0)
824,January,Arizona,Mohave County,9,295234,1638,Point(-111.656944 34.286667)
825,May,Kentucky,Grayson County,6.7,104659,2404,Point(-85.0 37.5)
826,December,Iowa,Grundy County,3.7,145746,7583,Point(-93.0 42.0)
827,August,Virginia,Dickenson County,10,110862,1272,Point(-79.0 37.5)
828,April,Tennessee,Lake County,7.8,109247,1492,Point(-86.0 36.0)
829,December,Texas,Pecos County,5,696241,1090,Point(-100.0 31.0)
830,December,South Dakota,Lincoln County,2,199729,2280,Point(-100.0 44.5)
831,February,Kentucky,Elliott County,12.2,104659,577,Point(-85.0 37.5)
832,August,Virginia,Orange County,4.3,110862,1077,Point(-79.0 37.5)
833,November,Nebraska,Dundy County,1.9,200520,1571,Point(-100.0 41.5)
834,June,North Carolina,Chatham County,5.2,139390,8653,Point(-80.0 35.5)
835,January,Missouri,Howell County,6.9,181533,1068,Point(-92.5 38.5)
836,June,Minnesota,Itasca County,6.2,225163,13297,Point(-94.0 46.0)
837,May,Tennessee,Dickson County,5.7,109247,1027,Point(-86.0 36.0)
838,August,Nebraska,Nuckolls County,2.3,200520,2570,Point(-100.0 41.5)
839,December,Kentucky,Mercer County,5.3,104659,9670,Point(-85.0 37.5)
840,October,Texas,Bee County,6.5,696241,2318,Point(-100.0 31.0)
841,April,South Dakota,Walworth County,5.4,199729,1209,Point(-100.0 44.5)
842,August,Ohio,Paulding County,4.3,116096,1234,Point(-82.5 40.5)
843,May,Minnesota,Hennepin County,3.3,225163,1790,Point(-94.0 46.0)
844,June,Colorado,Mesa County,6.1,269837,521,Point(-105.5 39.0)
845,October,Virginia,Spotsylvania County,4.2,110862,662,Point(-79.0 37.5)
846,April,Nevada,Douglas County,7.4,286380,1345,Point(-117.0 39.0)
847,September,Colorado,Clear Creek County,3.1,269837,1983,Point(-105.5 39.0)
848,July,Arkansas,Carroll County,4.5,137733,1485,Point(-92.2 34.8)
849,May,Montana,Valley County,2.6,381154,2636,Point(-110.0 47.0)
850,May,South Dakota,Hutchinson County,2.5,199729,3152,Point(-100.0 44.5)
851,September,Oklahoma,Cherokee County,4.6,181195,5491,Point(-98.0 35.5)
852,May,Missouri,Daviess County,5,181533,2334,Point(-92.5 38.5)
853,December,Massachusetts,Bristol County,5.7,27336,2053,Point(-71.8 42.3)
854,February,Connecticut,Windham County,7.5,14357,3027,Point(-72.7 41.6)
855,July,Kentucky,Estill County,6.4,104659,583,Point(-85.0 37.5)
856,January,Alabama,Macon County,8.3,135765,3152,Point(-86.7 32.7)
857,March,Louisiana,Allen Parish,7.1,135382,583,Point(-92.0 31.0)
858,December,Iowa,Mahaska County,3.6,145746,2300,Point(-93.0 42.0)
859,August,Texas,Lamb County,9.4,696241,1895,Point(-100.0 31.0)
860,April,Kentucky,Cumberland County,5.6,104659,1110,Point(-85.0 37.5)
861,August,Idaho,Bingham County,4.2,216699,1475,Point(-114.0 45.0)
862,May,Texas,Callahan County,4.1,696241,1544,Point(-100.0 31.0)
863,February,Texas,Hopkins County,4.4,696241,1864,Point(-100.0 31.0)
864,October,New Mexico,Bernalillo County,5.8,315194,2061,Point(-106.0 34.0)
865,October,Texas,Wilson County,3.9,696241,1250,Point(-100.0 31.0)
866,November,North Carolina,Cumberland County,7,139390,1340,Point(-80.0 35.5)
867,September,Tennessee,Wilson County,4.6,109247,3054,Point(-86.0 36.0)
868,February,Wisconsin,Langlade County,7.6,169640,2320,Point(-89.5 44.5)
869,April,Mississippi,Amite County,6.6,125443,2072,Point(-90.0 33.0)
870,September,North Carolina,Caswell County,5.9,139390,2446,Point(-80.0 35.5)
871,August,Iowa,Palo Alto County,2.9,145746,3456,Point(-93.0 42.0)
872,July,Kentucky,Hardin County,5.3,104659,1866,Point(-85.0 37.5)
873,September,Oklahoma,Murray County,4.2,181195,1023,Point(-98.0 35.5)
874,January,Oklahoma,Johnston County,7,181195,6816,Point(-98.0 35.5)
875,September,Illinois,Effingham County,4.4,149998,3548,Point(-89.0 40.0)
876,June,Washington,Island County,5.8,177,1312,Point(-77.036666666 38.895)
877,February,Oklahoma,Texas County,3.3,181195,5222,Point(-98.0 35.5)
878,June,Texas,Bastrop County,4.4,696241,1502,Point(-100.0 31.0)
879,November,Texas,Yoakum County,3.8,696241,5891,Point(-100.0 31.0)
880,November,Connecticut,Litchfield County,4.4,14357,2259,Point(-72.7 41.6)
881,August,Texas,Dimmit County,5.6,696241,8430,Point(-100.0 31.0)
882,March,Kansas,Republic County,3.2,213100,3604,Point(-98.0 38.5)
883,March,Missouri,Henry County,6.2,181533,1862,Point(-92.5 38.5)
884,January,Montana,Gallatin County,3.6,381154,1379,Point(-110.0 47.0)
885,July,Mississippi,Adams County,9,125443,1879,Point(-90.0 33.0)
886,November,South Carolina,Edgefield County,6.2,82931,5174,Point(-81.0 34.0)
887,October,Kansas,Lyon County,3.5,213100,3139,Point(-98.0 38.5)
888,August,Iowa,Keokuk County,3.9,145746,1566,Point(-93.0 42.0)
889,April,California,Tuolumne County,7.2,423970,267,Point(-120.0 37.0)
890,November,Maryland,Kent County,5.1,32133,3097,Point(-76.7 39.0)
891,December,Colorado,Washington County,2,269837,11731,Point(-105.5 39.0)
892,July,California,Kings County,9.7,423970,3885,Point(-120.0 37.0)
893,July,Tennessee,Lauderdale County,9.1,109247,2557,Point(-86.0 36.0)
894,July,Virginia,Caroline County,5,110862,20955,Point(-79.0 37.5)
895,September,Mississippi,Pontotoc County,5.3,125443,1983,Point(-90.0 33.0)
896,May,Arkansas,Polk County,6.4,137733,5983,Point(-92.2 34.8)
897,October,North Carolina,Lee County,6.9,139390,1036,Point(-80.0 35.5)
898,November,Alabama,Autauga County,4.9,135765,2988,Point(-86.7 32.7)
899,September,Iowa,Worth County,3.1,145746,2333,Point(-93.0 42.0)
900,February,Virginia,Norfolk City,6.1,110862,8030,Point(-79.0 37.5)
901,April,New Jersey,Sussex County,5.4,22591.4,3152,Point(-74.5 40.0)
902,September,New Mexico,Grant County,6.3,315194,1209,Point(-106.0 34.0)
903,November,Kansas,Chautauqua County,5.6,213100,13489,Point(-98.0 38.5)
904,June,North Dakota,Renville County,3.6,183108,2413,Point(-100.5 47.5)
905,August,Indiana,Clark County,4.2,94321,2722,Point(-86.216666666 39.933333333)
906,October,Utah,Piute County,5.7,219653,2238,Point(-111.5 39.5)
907,October,Iowa,Linn County,3.2,145746,8430,Point(-93.0 42.0)
908,October,Virginia,Westmoreland County,4.5,110862,2439,Point(-79.0 37.5)
909,August,Pennsylvania,Clearfield County,6,119283,4344,Point(-77.5 41.0)
910,April,Texas,Glasscock County,2.1,696241,2328,Point(-100.0 31.0)
911,January,Idaho,Elmore County,5.7,216699,3207,Point(-114.0 45.0)
912,August,Illinois,Cumberland County,5.3,149998,2390,Point(-89.0 40.0)
913,November,North Carolina,Cherokee County,6,139390,1417,Point(-80.0 35.5)
914,October,Washington,Garfield County,5.5,177,1933,Point(-77.036666666 38.895)
915,June,Virginia,Franklin City,7,110862,5710,Point(-79.0 37.5)
916,July,Illinois,Warren County,5.7,149998,807.76,Point(-89.0 40.0)
917,March,Kentucky,Mason County,6.2,104659,571,Point(-85.0 37.5)
918,August,North Dakota,Ransom County,2,183108,6948,Point(-100.5 47.5)
919,October,Ohio,Washington County,5.7,116096,26488,Point(-82.5 40.5)
920,October,Iowa,Pocahontas County,2.4,145746,1649,Point(-93.0 42.0)
921,June,California,Butte County,7.3,423970,1706,Point(-120.0 37.0)
922,December,Texas,Cooke County,3.7,696241,1638,Point(-100.0 31.0)
923,October,Wisconsin,Dane County,2.8,169640,3743,Point(-89.5 44.5)
924,May,South Carolina,Beaufort County,5.6,82931,2132,Point(-81.0 34.0)
925,December,Missouri,Dunklin County,6.9,181533,6988,Point(-92.5 38.5)
926,October,Nebraska,Banner County,2.6,200520,1731,Point(-100.0 41.5)
927,January,New Mexico,Taos County,10,315194,1386,Point(-106.0 34.0)
928,July,Vermont,Addison County,3.7,24923,2027,Point(-72.7 44.0)
929,August,Mississippi,Clay County,8.7,125443,1516,Point(-90.0 33.0)
930,December,Montana,McCone County,1.9,381154,1154,Point(-110.0 47.0)
931,December,California,Inyo County,5.8,423970,12998,Point(-120.0 37.0)
932,October,South Dakota,Deuel County,3.2,199729,2679,Point(-100.0 44.5)
933,March,Louisiana,Jefferson Davis Parish,6.3,135382,11731,Point(-92.0 31.0)
934,May,North Carolina,Chatham County,5,139390,6253,Point(-80.0 35.5)
935,November,Minnesota,Becker County,3.9,225163,1218,Point(-94.0 46.0)
936,June,Indiana,Newton County,5.2,94321,9364,Point(-86.216666666 39.933333333)
937,September,Minnesota,Chippewa County,3.3,225163,4964,Point(-94.0 46.0)
938,March,Kentucky,Fayette County,4.1,104659,1731,Point(-85.0 37.5)
939,October,Ohio,Columbiana County,5.4,116096,1235,Point(-82.5 40.5)
940,December,Pennsylvania,Schuylkill County,4.8,119283,3699,Point(-77.5 41.0)
941,July,Kentucky,Livingston County,7.6,104659,2320,Point(-85.0 37.5)
942,June,Kentucky,Casey County,6,104659,2030,Point(-85.0 37.5)
943,April,Montana,Big Horn County,6.5,381154,6935,Point(-110.0 47.0)
944,August,Maryland,Allegany County,7,32133,3132,Point(-76.7 39.0)
945,December,Indiana,Grant County,5.1,94321,3244,Point(-86.216666666 39.933333333)
946,September,Nebraska,Cass County,2.9,200520,637,Point(-100.0 41.5)
947,April,Alabama,Butler County,7.1,135765,1637,Point(-86.7 32.7)
948,November,California,San Luis Obispo County,4.5,423970,2582,Point(-120.0 37.0)
949,October,New York,Essex County,4.9,1214,6297,Point(-73.94 40.67)
950,May,Kentucky,Fayette County,4.1,104659,2087,Point(-85.0 37.5)
951,March,Virginia,Russell County,6.9,110862,864,Point(-79.0 37.5)
952,January,Montana,Wheatland County,7,381154,1826,Point(-110.0 47.0)
953,April,Texas,Bastrop County,3.5,696241,1303,Point(-100.0 31.0)
954,December,Tennessee,Shelby County,6.1,109247,1523,Point(-86.0 36.0)
955,July,New Mexico,Harding County,9.7,315194,2517,Point(-106.0 34.0)
956,April,Utah,Wasatch County,3.5,219653,1385,Point(-111.5 39.5)
957,November,Iowa,Clarke County,3.4,145746,2350,Point(-93.0 42.0)
958,November,Wisconsin,Waushara County,5.7,169640,1616,Point(-89.5 44.5)
959,February,Mississippi,Winston County,8.3,125443,6290,Point(-90.0 33.0)
960,February,Missouri,Sullivan County,7.7,181533,2911,Point(-92.5 38.5)
961,November,Missouri,Dade County,4.2,181533,3203,Point(-92.5 38.5)
962,May,South Carolina,Chesterfield County,6.2,82931,1228,Point(-81.0 34.0)
963,December,Virginia,Appomattox County,4.4,110862,556,Point(-79.0 37.5)
964,February,Texas,Panola County,4.5,696241,980,Point(-100.0 31.0)
965,January,Illinois,Boone County,7.9,149998,4442,Point(-89.0 40.0)
966,September,Maryland,Anne Arundel County,4.4,32133,3221,Point(-76.7 39.0)
967,May,North Carolina,Jones County,6.1,139390,27549,Point(-80.0 35.5)
968,February,Kentucky,Fulton County,7.2,104659,1180,Point(-85.0 37.5)
969,December,Texas,Scurry County,4.3,696241,657,Point(-100.0 31.0)
970,February,Alabama,Greene County,11.5,135765,3169,Point(-86.7 32.7)
971,March,Louisiana,Plaquemines Parish,5.9,135382,653,Point(-92.0 31.0)
972,January,Alabama,Jefferson County,5.9,135765,3688,Point(-86.7 32.7)
973,September,Tennessee,Houston County,8.4,109247,754,Point(-86.0 36.0)
974,September,North Carolina,Caldwell County,5.8,139390,1952,Point(-80.0 35.5)
975,October,Missouri,Webster County,4.1,181533,1968,Point(-92.5 38.5)
976,March,Indiana,Jennings County,6.1,94321,887,Point(-86.216666666 39.933333333)
977,July,Texas,Wheeler County,4.5,696241,4126,Point(-100.0 31.0)
978,August,Pennsylvania,Lycoming County,5.7,119283,986,Point(-77.5 41.0)
979,March,Washington,Lincoln County,6.3,177,1223,Point(-77.036666666 38.895)
980,February,Louisiana,East Feliciana Parish,6.6,135382,3178,Point(-92.0 31.0)
981,October,Iowa,Howard County,2.9,145746,420.98,Point(-93.0 42.0)
982,October,Washington,Pacific County,8.4,177,2584,Point(-77.036666666 38.895)
983,September,Virginia,Mathews County,4,110862,1442,Point(-79.0 37.5)
984,July,North Carolina,Hyde County,6.8,139390,2142,Point(-80.0 35.5)
985,June,Kentucky,Metcalfe County,5.1,104659,1313,Point(-85.0 37.5)
986,February,Texas,Karnes County,3.5,696241,1337,Point(-100.0 31.0)
987,June,Pennsylvania,Chester County,4,119283,6253,Point(-77.5 41.0)
988,August,Mississippi,Perry County,7.6,125443,1795,Point(-90.0 33.0)
989,January,Colorado,Huerfano County,10.7,269837,4361,Point(-105.5 39.0)
990,September,North Carolina,Transylvania County,5,139390,1090,Point(-80.0 35.5)
991,February,Louisiana,Lincoln Parish,7.3,135382,5307,Point(-92.0 31.0)
992,December,Pennsylvania,Erie County,4.5,119283,6216,Point(-77.5 41.0)
993,December,Indiana,Wabash County,4.4,94321,916,Point(-86.216666666 39.933333333)
994,September,Ohio,Champaign County,3.9,116096,2233,Point(-82.5 40.5)
995,June,Mississippi,Humphreys County,13.8,125443,584,Point(-90.0 33.0)
996,August,West Virginia,Putnam County,5.5,62755,9679,Point(-80.5 39.0)
997,September,Kansas,Montgomery County,6.2,213100,10812,Point(-98.0 38.5)
998,February,Kansas,Rice County,3.6,213100,2650,Point(-98.0 38.5)
999,June,Missouri,Cass County,5.1,181533,2693,Point(-92.5 38.5)
1000,October,Iowa,Monona County,3.3,145746,1877,Point(-93.0 42.0)
1001,July,Washington,Skamania County,6.9,177,2353,Point(-77.036666666 38.895)
1002,January,Illinois,Mercer County,8,149998,6089,Point(-89.0 40.0)
1003,January,Ohio,Morrow County,6.4,116096,1510,Point(-82.5 40.5)
1004,November,Wyoming,Weston County,3,253348,8369,Point(-107.5 43.0)
1005,April,Virginia,Prince Edward County,5.8,110862,2153,Point(-79.0 37.5)
1006,January,Nebraska,Fillmore County,2.8,200520,5307,Point(-100.0 41.5)
1007,December,Texas,Williamson County,3.1,696241,3743,Point(-100.0 31.0)
1008,December,Arkansas,Monroe County,6,137733,18874,Point(-92.2 34.8)
1009,August,Kentucky,Johnson County,8.2,104659,1849,Point(-85.0 37.5)
1010,November,Texas,Travis County,3.1,696241,1790,Point(-100.0 31.0)
1011,September,Illinois,Randolph County,5.3,149998,11047,Point(-89.0 40.0)
1012,May,Kansas,Franklin County,4.7,213100,1661,Point(-98.0 38.5)
1013,August,Texas,Hockley County,4.6,696241,1655,Point(-100.0 31.0)
1014,April,Mississippi,Hancock County,5.8,125443,807.76,Point(-90.0 33.0)
1015,April,Minnesota,Mahnomen County,5.3,225163,2053,Point(-94.0 46.0)
1016,September,Oregon,Umatilla County,5.2,255026,2328,Point(-120.575 43.935833)
1017,December,Oregon,Sherman County,5.9,255026,2818,Point(-120.575 43.935833)
1018,September,Ohio,Morrow County,4.4,116096,4336,Point(-82.5 40.5)
1019,June,Minnesota,Becker County,4.1,225163,986,Point(-94.0 46.0)
1020,December,Utah,Tooele County,3.5,219653,2413,Point(-111.5 39.5)
1021,August,Texas,Lampasas County,4.4,696241,1171,Point(-100.0 31.0)
1022,July,Massachusetts,Bristol County,6.4,27336,1488,Point(-71.8 42.3)
1023,November,Wyoming,Converse County,3.7,253348,27549,Point(-107.5 43.0)
1024,April,Louisiana,Tensas Parish,9.7,135382,21648,Point(-92.0 31.0)
1025,September,Wisconsin,Lafayette County,3.2,169640,9679,Point(-89.5 44.5)
1026,September,Vermont,Addison County,3.6,24923,4235,Point(-72.7 44.0)
1027,March,Texas,Hopkins County,4.3,696241,6310,Point(-100.0 31.0)
1028,April,New York,Chenango County,5.8,1214,1440,Point(-73.94 40.67)
1029,January,Texas,Bell County,5.3,696241,2043,Point(-100.0 31.0)
1030,March,Montana,Petroleum County,7.7,381154,1345,Point(-110.0 47.0)
1031,December,North Carolina,Transylvania County,5.3,139390,2345,Point(-80.0 35.5)
1032,May,Indiana,Warren County,5,94321,2911,Point(-86.216666666 39.933333333)
1033,November,Virginia,Smyth County,5.6,110862,162,Point(-79.0 37.5)
1034,March,North Dakota,McIntosh County,4,183108,1583,Point(-100.5 47.5)
1035,May,Washington,Lincoln County,5.5,177,12305,Point(-77.036666666 38.895)
1036,February,Oregon,Lake County,10.3,255026,1877,Point(-120.575 43.935833)
1037,December,Ohio,Monroe County,10.9,116096,11731,Point(-82.5 40.5)
1038,June,Illinois,Cook County,6.4,149998,3728,Point(-89.0 40.0)
1039,November,West Virginia,Lewis County,7.9,62755,3699,Point(-80.5 39.0)
1040,November,Nebraska,Richardson County,2.6,200520,3216,Point(-100.0 41.5)
1041,July,Arkansas,Pike County,7.2,137733,583,Point(-92.2 34.8)
1042,February,Missouri,Macon County,7,181533,2528,Point(-92.5 38.5)
1043,August,Louisiana,Union Parish,6.9,135382,4682,Point(-92.0 31.0)
1044,March,New York,Jefferson County,8.4,1214,1769,Point(-73.94 40.67)
1045,January,New Jersey,Hudson County,6.2,22591.4,714,Point(-74.5 40.0)
1046,February,Virginia,Giles County,5.6,110862,3456,Point(-79.0 37.5)
1047,January,Colorado,Moffat County,6.1,269837,11652,Point(-105.5 39.0)
1048,March,Washington,Franklin County,8.4,177,27549,Point(-77.036666666 38.895)
1049,July,Kentucky,Grant County,5.4,104659,3472,Point(-85.0 37.5)
1050,January,North Dakota,Benson County,7.2,183108,1218,Point(-100.5 47.5)
1051,November,Montana,Wheatland County,5.9,381154,2584,Point(-110.0 47.0)
1052,April,Texas,Upton County,3.4,696241,1877,Point(-100.0 31.0)
1053,November,North Carolina,Wilson County,9,139390,4968,Point(-80.0 35.5)
1054,October,Kentucky,Harrison County,4.2,104659,1207,Point(-85.0 37.5)
1055,November,New York,Hamilton County,8.7,1214,1619,Point(-73.94 40.67)
1056,September,Pennsylvania,Venango County,5.5,119283,3703,Point(-77.5 41.0)
1057,July,Minnesota,Wright County,3.4,225163,1293,Point(-94.0 46.0)
1058,May,Texas,Medina County,4.3,696241,1828,Point(-100.0 31.0)
1059,September,Utah,Uintah County,6.7,219653,28.51022,Point(-111.5 39.5)
1060,March,Mississippi,Lincoln County,5.6,125443,1060,Point(-90.0 33.0)
1061,March,North Carolina,Carteret County,6.3,139390,750,Point(-80.0 35.5)
1062,December,Kansas,Butler County,3.7,213100,8430,Point(-98.0 38.5)
1063,August,Illinois,Champaign County,5.4,149998,404,Point(-89.0 40.0)
1064,February,Texas,Franklin County,4.7,696241,10872,Point(-100.0 31.0)
1065,October,Utah,Sevier County,3.8,219653,1655,Point(-111.5 39.5)
1066,November,Minnesota,Pipestone County,2.4,225163,1922,Point(-94.0 46.0)
1067,March,Oklahoma,Haskell County,7.5,181195,1802,Point(-98.0 35.5)
1068,January,Nebraska,Morrill County,3.5,200520,1944,Point(-100.0 41.5)
1069,September,Indiana,Gibson County,3.3,94321,1448,Point(-86.216666666 39.933333333)
1070,May,Texas,Moore County,3.1,696241,1692,Point(-100.0 31.0)
1071,August,Virginia,Martinsville City,9.2,110862,1759,Point(-79.0 37.5)
1072,May,Indiana,Bartholomew County,3.6,94321,2413,Point(-86.216666666 39.933333333)
1073,December,North Carolina,Pasquotank County,7.1,139390,2720,Point(-80.0 35.5)
1074,July,Pennsylvania,Washington County,5.8,119283,2511,Point(-77.5 41.0)
1075,February,Mississippi,Walthall County,8.3,125443,11835,Point(-90.0 33.0)
1076,November,North Dakota,Eddy County,3.2,183108,657,Point(-100.5 47.5)
1077,November,Missouri,Lafayette County,3.5,181533,1421,Point(-92.5 38.5)
1078,March,Wisconsin,Trempealeau County,4.9,169640,2082,Point(-89.5 44.5)
1079,August,South Carolina,Clarendon County,7.7,82931,1082,Point(-81.0 34.0)
1080,July,Connecticut,Hartford County,6.1,14357,1916,Point(-72.7 41.6)
1081,June,Colorado,Teller County,4.6,269837,1510,Point(-105.5 39.0)
1082,June,Kansas,Labette County,6.5,213100,5761,Point(-98.0 38.5)
1083,May,Indiana,Benton County,4.6,94321,1869,Point(-86.216666666 39.933333333)
1084,January,Pennsylvania,Warren County,5.8,119283,2142,Point(-77.5 41.0)
1085,December,Virginia,Brunswick County,6.1,110862,1933,Point(-79.0 37.5)
1086,October,Iowa,Jasper County,3.2,145746,12786,Point(-93.0 42.0)
1087,January,Idaho,Lemhi County,10.2,216699,1405,Point(-114.0 45.0)
1088,July,Arkansas,Howard County,4.9,137733,4204,Point(-92.2 34.8)
1089,October,Virginia,Alexandria City,3,110862,1173,Point(-79.0 37.5)
1090,August,Alabama,Etowah County,6.5,135765,1602,Point(-86.7 32.7)
